contrast,time_point,model,n_genes,beta_expr,beta_expr_CI_low,beta_expr_CI_high,gamma_length,gamma_length_CI_low,gamma_length_CI_high,spearman_expr_length,p_value_or_bootstrap_p,length_adjusted_head_effect,head_effect_CI_low,head_effect_CI_high
Tam_vs_Ctrl_4h,4,B_length_adjusted_amplifier_slope,12853,-0.003674427178179787,-0.005481810023804339,-0.0019786639390125147,-0.04157578701966732,-0.04719177808771359,-0.036323752277967546,NA,0,NA,NA,NA
DT_H_CPT_vs_D_H_CPT_24h,24,C_length_stratum_Short,4910,-0.047994720835511574,-0.055337458717080915,-0.04071751780740128,NA,NA,NA,NA,0,NA,NA,NA
DT_H_CPT_vs_D_H_CPT_24h,24,C_length_stratum_Medium,4590,-0.013176090134074137,-0.021298542341262265,-0.004992713096729102,NA,NA,NA,NA,0.004,NA,NA,NA
DT_H_CPT_vs_D_H_CPT_24h,24,C_length_stratum_Long,4609,0.00997732675627,0.003113610109973873,0.017371566286101005,NA,NA,NA,NA,0.004,NA,NA,NA
DT_L_CPT_vs_D_L_CPT_24h,24,C_length_stratum_Short,4611,-0.0773014607064341,-0.08388937113438094,-0.07118735144746845,NA,NA,NA,NA,0,NA,NA,NA
DT_L_CPT_vs_D_L_CPT_24h,24,C_length_stratum_Medium,4511,-0.06674718073082309,-0.07501951859628869,-0.058754334223779764,NA,NA,NA,NA,0,NA,NA,NA
DT_L_CPT_vs_D_L_CPT_24h,24,C_length_stratum_Long,4506,-0.08277444791450367,-0.09269492622242559,-0.07215128811560546,NA,NA,NA,NA,0,NA,NA,NA
DT_vs_D_24h,24,C_length_stratum_Short,4484,-0.0813449454238689,-0.08627695580834965,-0.07588217698707725,NA,NA,NA,NA,0,NA,NA,NA
DT_vs_D_24h,24,C_length_stratum_Medium,4432,-0.06481583817193694,-0.07111288104977863,-0.058680390255285625,NA,NA,NA,NA,0,NA,NA,NA
DT_vs_D_24h,24,C_length_stratum_Long,4457,-0.0536146027549436,-0.06019219020199659,-0.046965422641474255,NA,NA,NA,NA,0,NA,NA,NA
DT_vs_D_4h,4,C_length_stratum_Short,4155,0.00280571835999857,-0.002665316951544115,0.007849706143236155,NA,NA,NA,NA,0.294,NA,NA,NA
DT_vs_D_4h,4,C_length_stratum_Medium,4341,-0.001913668438594326,-0.007917421303173872,0.004474368972064314,NA,NA,NA,NA,0.506,NA,NA,NA
DT_vs_D_4h,4,C_length_stratum_Long,4367,0.006197482365514592,6.629209814527234e-5,0.012769434914774048,NA,NA,NA,NA,0.048,NA,NA,NA
D_H_CPT_vs_D_24h,24,C_length_stratum_Short,4728,-0.1716194739700738,-0.17992165139874436,-0.16326417209697056,NA,NA,NA,NA,0,NA,NA,NA
D_H_CPT_vs_D_24h,24,C_length_stratum_Medium,4524,-0.18465542843993774,-0.19468301654428433,-0.17347749288911313,NA,NA,NA,NA,0,NA,NA,NA
D_H_CPT_vs_D_24h,24,C_length_stratum_Long,4553,-0.16874776214908274,-0.1786129851547479,-0.15837250197996108,NA,NA,NA,NA,0,NA,NA,NA
DT_vs_D_24h,24,D_length_adjusted_head_effect_on_inter_method_spread,17165,NA,NA,NA,0.02204312236037881,0.013895023134348037,0.03030014703220983,NA,0,0.2504989171403329,0.2208754649875455,0.2786496886588352
DT_vs_D_4h,4,D_length_adjusted_head_effect_on_inter_method_spread,17165,NA,NA,NA,0.03612984301007782,0.028250875258791983,0.04391022778088374,NA,0,0.09540017477537523,0.07133643867954265,0.11915394918482712
