contrast_id	time_bin	n_genes	length_adjusted_head_effect	head_effect_CI_low	head_effect_CI_high	head_effect_bootstrap_p	gamma_length	gamma_length_CI_low	gamma_length_CI_high	gamma_length_bootstrap_p
DT_vs_D_24h	Late	17165	0.2504989171403329	0.2208754649875455	0.2786496886588352	0	0.02204312236037881	0.013895023134348037	0.03030014703220983	0
DT_vs_D_4h	Early	17165	0.09540017477537523	0.07133643867954265	0.11915394918482712	0	0.03612984301007782	0.028250875258791983	0.04391022778088374	0
