type,band,a,b,c,d,odds_ratio,conf_low,conf_high,y
EBOX,head,857,885,6748,8937,1.28249073171712,1.16148026112914,1.41610885004737,1.28249073171712
EBOX,mid,6105,7837,1500,1985,1.03087278295266,0.956444041795375,1.11109343379643,1.03087278295266
EBOX,tail,643,1100,6962,8722,0.732319082813194,0.661127405566567,0.811176839043257,0.732319082813194
TETO,head,354,1388,3427,12258,0.9122614195291,0.806925654456083,1.03134767492578,0.9122614195291
TETO,mid,3034,10908,747,2738,1.01949074871789,0.931413104656809,1.11589731937938,1.01949074871789
TETO,tail,393,1350,3388,12296,1.05652367834186,0.938361103000795,1.18956580715822,1.05652367834186
