pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,Contrast,Time,Stress,Numerator,Denominator,N_num,N_den,RankStatistic,sig,LeadingEdgeSize,LeadingEdgeHeadFrac
HALLMARK_APOPTOSIS,0.5400801603206413,1,0.21546693057639293,0.9613118804543788,3233,140,PLCB2;TSPO;AIFM3;TNF;GPX4;SMAD7;SQSTM1;BMF;BCAP31;RHOT2;ATF3;ERBB2;FDXR;BTG2;TAP1;BIK;GSR;IFITM3;BMP2;HSPB1;TIMP3;GSN;PSEN2;BCL2L1;CDKN1A;BCL10;TXNIP;EGR3;BCL2L2;GADD45A;DAP;PPP2R5B;GADD45B;MGMT;TIMP1;VDAC2;CASP2;IL6;SLC20A1;BID;RHOB;CLU;IGFBP6;ADD1,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,44,0.25
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.43972109761583444,1,-0.24426538076392554,-1.0060691596394113,1954,69,HMGCS1;IDI1;HSD17B7;HMGCR;NSDHL;FABP5;ALDOC;SC5D;NFIL3;GSTM2;ATXN2;ERRFI1;FADS2;ACAT2;FDPS;STARD4;PPARG,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,17,0.23529411764705882
HALLMARK_COAGULATION,0.8979377839916113,1,0.18682603774892312,0.774909877513617,5137,90,MMP15;HTRA1;ACOX2;DPP4;F12;CRIP2;HMGCS2;CFD;GNB2;MASP2;PDGFB;CAPN5;TIMP3;MST1;GSN;RAPGEF3;THBD;LRP1;FURIN,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,19,0.15789473684210525
HALLMARK_COMPLEMENT,0.03931880791384924,0.14435591098343314,-0.27598413131849425,-1.307832499902193,156,157,CASP4;CXCL1;ZEB1;ERAP2;S100A9;FN1;SERPINC1;ADRA2B;PCLO;PLAT;LTF;SERPINE1;PLA2G7;F3;APOBEC3G;F8;SERPINA1;USP16;FYN;IRF2;USP8;FCER1G;DUSP6;GPD2;GMFB;DOCK10;RASGRP1;PPP2CB;DGKH;CFH;KYNU;PLA2G4A;CASP3;AKAP10;C1S;CASP7;CP;NOTCH4;CFB;SERPINB2;KIF2A;JAK2;ADAM9;LIPA;CASP1;PSMB9;DGKG;DYRK2;USP15;CTSV;PRDM4,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,0.8405654282368189,51,0.0784313725490196
HALLMARK_DNA_REPAIR,0.6482193613108176,1,0.20505565793171304,0.9205729722678386,3876,147,SAC3D1;ZNF707;NME3;GSDME;MPG;TAF1C;APRT;VPS37B;NELFB;GPX4;CCNO;ADCY6;COX17;BCAP31;TAF10;SURF1;POLD1;GUK1;SNAPC4;ADRM1;ELL;POLR2A;POLD4;POLR2G;POLR2I;ITPA;POLR2H;BCAM;BRF2;ERCC1;DUT;NT5C,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,32,0.125
HALLMARK_E2F_TARGETS,2.5960539979231567e-4,0.004562789430672841,-0.3672216203726933,-1.7955696590536419,0,197,CKS2;MYC;CENPE;DLGAP5;BUB1B;CDKN3;MELK;PLK4;ATAD2;MKI67;DEPDC1;HMMR;SPAG5;BRCA2;ING3;RAD51C;BRCA1;RFC3;CDCA8;DSCC1;SPC25;TOP2A;AURKA;MAD2L1;USP1;BRMS1L;RACGAP1;MMS22L;SMC1A;CSE1L;PDS5B;ORC6;NOLC1;SMC6;HELLS;CHEK1;SYNCRIP;HNRNPD;MCM5;EXOSC8;SMC4;EZH2;KIF2C;RAD21;DEK;RAD50;RPA3;STAG1;NUP107;XPO1;TIPIN;CCNB2;KIF4A;IPO7;LYAR;LMNB1;CIT;PPP1R8;MRE11;NBN;PTTG1;CCNE1;NME1;TRIP13;RFC1;RPA1;PLK1;TUBB;CDKN1B;CDC20;KPNA2;PSIP1;SMC3;CBX5;RRM2;UBE2T;DIAPH3;XRCC6;PNN;EIF2S1;DNMT1;GINS3;CNOT9;TRA2B;PA2G4;MLH1;CCP110;TMPO;PRKDC;BARD1;MCM3;CDK1;PHF5A;PRIM2;AK2;ILF3;NAP1L1;ZW10;KIF18B;CDCA3;UBR7;SLBP;ANP32E;LUC7L3;CTCF;NUP205;SHMT1,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,2.340769573131123,107,0.27102803738317754
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.012762762762762763,0.07125875875875876,-0.299562968185398,-1.4083032480329525,50,151,CXCL8;ECM2;FAP;EDIL3;CXCL1;IL15;SPOCK1;VEGFA;GLIPR1;FN1;ABI3BP;INHBA;SERPINE1;OXTR;LAMA2;CD44;DST;TNC;TNFRSF11B;VCAN;PLOD2;LOX;PTX3;DAB2;ITGA2;LAMA3;SLIT2;LOXL2;MYL9;THBS1;NT5E;LAMC2;CALD1,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,1.1471617468028068,33,0.2727272727272727
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.48291721419185285,1,0.21401742773145876,0.9879006826533915,2939,181,HSPB8;KCNK15;HR;WFS1;SLC1A4;SEMA3B;KRT19;FASN;RHOD;SLC22A5;KDM4B;KAZN;NBL1;CLIC3;ITPK1;KRT13;SLC7A5;RAPGEFL1;CELSR1;INHBB;TJP3;RAB17;PTGES;BLVRB;CELSR2;PDZK1;ALDH3B1;TSKU;EGR3;KLK10;CLDN7;KCNK5;ABCA3;ELF3;TFAP2C;XBP1;RRP12;ANXA9;TPBG;SFN;B4GALT1;NXT1;GAB2;UNC119;PPIF;MINDY1;MYBBP1A;TGM2;SYNGR1;AMFR;RHOBTB3;SIAH2;FARP1;SYT12;BAG1;MLPH;IGFBP4;IL17RB,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,58,0.27586206896551724
HALLMARK_ESTROGEN_RESPONSE_LATE,0.24735624586913418,0.6629147389292797,0.24043557628711998,1.1031920544802232,1496,173,HSPB8;TST;CKB;PLXNB1;PKP3;HR;DUSP2;WFS1;SLC1A4;ZFP36;MDK;ACOX2;SEMA3B;LLGL2;KRT19;HMGCS2;SLC2A8;SLC22A5;PRKAR2B;CACNA2D2;ETFB;NBL1;DCXR;CLIC3;ITPK1;KRT13;SLC7A5;ST14;RAPGEFL1;LSR;TJP3;PTGES;GAL;BLVRB;CELSR2;PDZK1;ALDH3B1;EGR3;KLK10;KCNK5;ABCA3;TFAP2C;XBP1;ANXA9;TPBG;SFN;SNX10;PERP;NXT1;GPER1;METTL3;PPIF;IMPA2;GALE;AMFR;SGK1;TSPAN13;SIAH2;TNNC1;FARP1;BAG1;IGFBP4;IL17RB,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,0.1785423249793079,63,0.25396825396825395
HALLMARK_FATTY_ACID_METABOLISM,0.9909819639278558,1,0.1547331221401918,0.6903462550622229,5933,140,LTC4S;D2HGDH;ACSS1;CBR3;ACOT2;ECHS1;REEP6;NCAPH2;ECI1;FASN;TP53INP2;HMGCS2;SLC22A5,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,13,0.07692307692307693
