Cluster,Description,score,FDR,Count
M1,HALLMARK_UV_RESPONSE_UP,4.434527454085802e-8,0.9999998978912371,2
M1,WP_AMINO_ACID_METABOLISM,4.434527454085802e-8,0.9999998978912371,2
M1,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,4.434527454085802e-8,0.9999998978912371,1
M1,HALLMARK_ANGIOGENESIS,4.434527454085802e-8,0.9999998978912371,1
M1,HALLMARK_PANCREAS_BETA_CELLS,4.434527454085802e-8,0.9999998978912371,1
M1,REACTOME_MITOCHONDRIAL_TRANSLATION,4.434527454085802e-8,0.9999998978912371,1
M1,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,4.434527454085802e-8,0.9999998978912371,1
M2,REACTOME_MITOCHONDRIAL_TRANSLATION,18.113129364964465,7.706738712860907e-19,58
M2,GOBP_MITOCHONDRIAL_TRANSLATION,15.452987215579283,3.52381244012804e-16,67
M2,GOBP_MITOCHONDRIAL_GENE_EXPRESSION,14.266367486818444,5.4154245966948455e-15,77
M2,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,11.589120826131706,2.5756044920794187e-12,50
M2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.605080196617806,2.4826746134206126e-5,65
M2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.054765742831461,0.008815242363768131,52
M2,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,2.054765742831461,0.008815242363768131,33
M2,HALLMARK_FATTY_ACID_METABOLISM,1.851005787891918,0.014092700167950448,41
M2,GOMF_RNA_ENDONUCLEASE_ACTIVITY,1.5713682325386564,0.026830685426627424,22
M2,HALLMARK_DNA_REPAIR,1.5203875056363731,0.030172583258699967,41
M2,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.3976891091882755,0.040023115372879794,22
M2,HALLMARK_ADIPOGENESIS,1.2077654183685729,0.06197757529396757,48
M2,HALLMARK_COAGULATION,1.158230088674943,0.06946561920968643,26
M2,HALLMARK_XENOBIOTIC_METABOLISM,0.9379838981800391,0.11534960238284162,39
M2,HALLMARK_UV_RESPONSE_UP,0.9379838981800391,0.11534960238284162,35
M2,REACTOME_MRNA_SPLICING,0.9251209257739241,0.11881713447051448,51
M2,HALLMARK_KRAS_SIGNALING_UP,0.8669032409794879,0.13586161069389047,37
M2,HALLMARK_ESTROGEN_RESPONSE_LATE,0.6191297976534981,0.24036443151275422,41
M2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5833086398018168,0.2610305630720219,36
M2,HALLMARK_HYPOXIA,0.48100609869880945,0.33036490176492955,40
M2,HALLMARK_NOTCH_SIGNALING,0.3390105874015981,0.45813071808766376,8
M2,HALLMARK_MYC_TARGETS_V2,0.27096402186927937,0.535841046197718,14
M2,HALLMARK_APOPTOSIS,0.26178229488390653,0.5472902422877691,31
M2,HALLMARK_MTORC1_SIGNALING,0.1409264712407425,0.7228921833886799,40
M2,HALLMARK_PEROXISOME,0.12471084499171438,0.7503936581544016,19
M2,HALLMARK_INFLAMMATORY_RESPONSE,0.10974338681279605,0.7767059161671789,28
M2,WP_PYRIMIDINE_METABOLISM,0.10974338681279605,0.7767059161671789,16
M2,WP_AMINO_ACID_METABOLISM,0.10974338681279605,0.7767059161671789,15
