cluster,head,mid,tail,MDI
M1,0.7441930082342605,0.6905340566638145,1.680173582027737,-0.9359805737934765
M2,-1.9389115325378725,-0.45965495086080654,-0.8579446644346369,-1.0809668681032356
M3,NA,-0.21519048941667318,-0.09902270717770056,NA
M4,NA,0.10754742439029208,NA,NA
M5,-0.6448700617957819,-0.27384372094133447,NA,NA
M6,0.056055543523521933,0.10160801536678221,NA,NA
M7,NA,0.6224747456429682,0.32443934398916685,NA
