gene,loading,comp,comp_time_cor,axis_mode,axis_polarity
ABCE1,-0.0073642045317202035,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABCF1,2.9354417861195413e-4,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABCF2,-0.005166873302038957,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABCF3,0.006004662910491013,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABCG2,-0.002776909768478417,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABCG4,-0.007507493621175115,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD10,-0.007823911361938813,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD11,0.009997549844050673,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD12,-0.005645305456460717,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD13,-0.0041996032601822235,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD14A,-0.007634785941204067,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD14B,-0.010701373182979052,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD15,-0.0022110146747776603,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD16A,-5.856908138475814e-4,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
ABHD17A,-0.0035361604453376678,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
