gene,cluster,module_membership,lfc_sur,pc_loading,NRI,baseline_value,abs_lfc_sur
NPIPB5,M1,0.33523826964780623,1.978168980125778,0.02956106940583675,1,2347.2732105058267,1.978168980125778
STARD13,M1,0.365233747866588,1.504283754394903,0.02569805107989,1,1668.2364962824145,1.504283754394903
DENND3,M1,0.3964951676558304,1.6163620791482796,0.02305525969550036,1,1434.8714994541829,1.6163620791482796
ARHGEF28,M1,0.4079985358490078,1.4094050707651815,0.02218056627284614,1,1428.9272350840338,1.4094050707651815
PVT1,M1,0.40792426374961954,1.610100307784803,0.0222253433156255,1,1303.3706578323108,1.610100307784803
GOLGA8B,M1,0.46355251142315657,1.512163421318684,0.01914218531958951,1,1173.0777784017587,1.512163421318684
ANKRD36,M1,0.4048070481131083,1.5112906369472228,0.02223598037872069,1,1123.9977516438298,1.5112906369472228
GTF2IRD1,M1,0.3628486876907948,1.5690689978709005,0.02497893182596577,1,1121.7526462117535,1.5690689978709005
MIRLET7BHG,M1,0.3505509866248616,1.5974112517913834,0.02735585764183227,1,1078.3016133013557,1.5974112517913834
MIR205HG,M1,0.3870839315298168,1.601380353542817,0.01964898837718592,1,943.200582711936,1.601380353542817
PILRB,M1,0.33467833857992335,1.902621575135603,0.02644014408445495,1,850.684249043922,1.902621575135603
CCDC57,M1,0.420294100868742,1.4309944482835224,0.02019479322149791,1,844.6298654511884,1.4309944482835224
MIR29B2CHG,M1,0.27567797780013326,1.9249262432430656,0.02878259859791549,1,678.7920975113627,1.9249262432430656
TMEM63A,M1,0.3596153448388154,1.6667328184253185,0.02235250270983961,1,658.3301964067743,1.6667328184253185
GTPBP2,M1,0.34456741036675065,1.6139603430269531,0.0240696461324703,1,634.3375167208221,1.6139603430269531
ZNF692,M1,0.37167549517326703,1.60279365642198,0.02253243899968079,1,618.7144548133208,1.60279365642198
NBPF19,M1,0.3778503688182091,1.5188728827947529,0.02288543024884154,1,610.3704164102774,1.5188728827947529
SNCAIP,M1,0.3048823767299744,1.6824248343865855,0.02677093689814028,1,564.7978178339611,1.6824248343865855
KIF18B,M1,0.3917276419895104,1.466737982162348,0.02237638807540079,1,556.5148522993792,1.466737982162348
POLR2J3,M1,0.379661072978537,1.611527267335637,0.01982488827225273,1,551.3424265796291,1.611527267335637
ARHGEF38,M1,0.3650515340716509,1.454700100119256,0.02346889222165785,1,533.4303365819976,1.454700100119256
NBPF10,M1,0.39670412323791593,1.4919328037541408,0.02102871135988944,1,519.7776585851675,1.4919328037541408
NBPF12,M1,0.39769576931450734,1.4229743888461197,0.02209241072155699,1,497.0074902241239,1.4229743888461197
CEP152,M1,0.3647652067548616,1.5496502808457198,0.02287919567957053,1,491.09659646417873,1.5496502808457198
BLACAT1,M1,0.3356860163189429,1.6638080892533953,0.02393990896320993,1,467.5168001880729,1.6638080892533953
CPT1B,M1,0.3662995844616886,1.617053625220377,0.02180847648503341,1,421.0139250628073,1.617053625220377
SFI1,M1,0.41805247158764247,1.419423224736054,0.0198264551897261,1,400.4100672340387,1.419423224736054
