gene,baseline_mean,region
ENSG00000132507_EIF5A,14.18710663,head
ENSG00000100345_MYH9,14.17001679,head
ENSG00000063177_RPL18,14.15712067,head
ENSG00000112306_RPS12,14.15622509,head
ENSG00000086062_B4GALT1,14.15187986,head
ENSG00000253729_PRKDC,14.13726151,head
ENSG00000111057_KRT18,14.12913665,head
ENSG00000170889_RPS9,14.12829762,head
ENSG00000153187_HNRNPU,14.12155541,head
ENSG00000150991_UBC,14.12050954,head
ENSG00000137309_HMGA1,14.11137359,head
ENSG00000166441_RPL27A,14.10626991,head
ENSG00000197102_DYNC1H1,14.09116385,head
ENSG00000086758_HUWE1,14.08042721,head
ENSG00000130707_ASS1,14.0791038,head
ENSG00000137699_TRIM29,14.07646344,head
ENSG00000009307_CSDE1,14.07061185,head
ENSG00000117983_MUC5B,14.06951497,head
ENSG00000124614_RPS10,14.06191188,head
ENSG00000130741_EIF2S3,14.05812828,head
ENSG00000130402_ACTN4,14.05563124,head
ENSG00000165119_HNRNPK,14.04250525,head
ENSG00000103335_PIEZO1,14.04050159,head
ENSG00000111319_SCNN1A,14.02470217,head
ENSG00000229807_XIST,14.0181553,head
ENSG00000196531_NACA,14.01222022,head
ENSG00000092199_HNRNPC,14.00415268,head
ENSG00000151208_DLG5,13.99913196,head
ENSG00000131981_LGALS3,13.98629141,head
ENSG00000110700_RPS13,13.97908734,head
ENSG00000182899_RPL35A,13.96600307,head
ENSG00000084207_GSTP1,13.96459547,head
ENSG00000115677_HDLBP,13.95543854,head
ENSG00000145592_RPL37,13.95301519,head
ENSG00000163993_S100P,13.93709814,head
ENSG00000099204_ABLIM1,13.93594018,head
ENSG00000179218_CALR,13.93449706,head
ENSG00000142864_SERBP1,13.93414582,head
ENSG00000166710_B2M,13.92494402,head
ENSG00000008988_RPS20,13.91986719,head
ENSG00000118181_RPS25,13.91718472,head
ENSG00000136942_RPL35,13.90820716,head
ENSG00000198918_RPL39,13.8994465,head
ENSG00000108953_YWHAE,13.89894384,head
ENSG00000185499_MUC1,13.88423116,head
ENSG00000156482_RPL30,13.87319814,head
ENSG00000139644_TMBIM6,13.87287342,head
ENSG00000071082_RPL31,13.87189159,head
ENSG00000122566_HNRNPA2B1,13.86926811,head
ENSG00000143321_HDGF,13.85969477,head
ENSG00000134531_EMP1,13.82947714,head
ENSG00000197111_PCBP2,13.82784794,head
ENSG00000108654_DDX5,13.82092532,head
ENSG00000163435_ELF3,13.81309177,head
ENSG00000105220_GPI,13.80591481,head
ENSG00000152234_ATP5F1A,13.80438656,head
ENSG00000155066_PROM2,13.79877161,head
ENSG00000114942_EEF1B2,13.78497078,head
ENSG00000205339_IPO7,13.769653,head
ENSG00000135821_GLUL,13.76506514,head
ENSG00000044115_CTNNA1,13.76005093,head
ENSG00000111799_COL12A1,13.75881124,head
ENSG00000114391_RPL24,13.75784724,head
ENSG00000196576_PLXNB2,13.74289854,head
ENSG00000142949_PTPRF,13.73837455,head
ENSG00000145741_BTF3,13.72273503,head
ENSG00000187109_NAP1L1,13.71873862,head
ENSG00000171858_RPS21,13.70681619,head
ENSG00000155506_LARP1,13.70115643,head
ENSG00000187446_CHP1,13.68970424,head
ENSG00000152558_TMEM123,13.6860095,head
ENSG00000118898_PPL,13.68574599,head
ENSG00000184292_TACSTD2,13.68184631,head
ENSG00000130255_RPL36,13.67572379,head
ENSG00000233927_RPS28,13.6745977,head
ENSG00000185624_P4HB,13.67411723,head
ENSG00000109475_RPL34,13.67117469,head
ENSG00000141367_CLTC,13.66915199,head
ENSG00000263001_GTF2I,13.66378511,head
ENSG00000245532_NEAT1,13.66124141,head
ENSG00000111371_SLC38A1,13.65162033,head
ENSG00000169100_SLC25A6,13.64469379,head
ENSG00000115268_RPS15,13.63921706,head
ENSG00000160209_PDXK,13.62760583,head
ENSG00000151632_AKR1C2,13.62569578,head
ENSG00000115221_ITGB6,13.62273139,head
ENSG00000174231_PRPF8,13.6206163,head
ENSG00000111716_LDHB,13.61969876,head
ENSG00000140575_IQGAP1,13.61393578,head
ENSG00000242125_SNHG3,13.60839706,head
ENSG00000172270_BSG,13.6066058,head
ENSG00000215301_DDX3X,13.59474282,head
ENSG00000104529_EEF1D,13.5914652,head
ENSG00000075415_SLC25A3,13.59085853,head
ENSG00000102144_PGK1,13.58622689,head
ENSG00000104408_EIF3E,13.5821978,head
ENSG00000184110_EIF3C,13.56674497,head
ENSG00000189334_S100A14,13.55460756,head
ENSG00000177600_RPLP2,13.54895579,head
ENSG00000082153_BZW1,13.54750628,head
ENSG00000108518_PFN1,13.54636688,head
ENSG00000262202_AC007952.4,13.53655854,head
ENSG00000130702_LAMA5,13.53127269,head
ENSG00000240972_MIF,13.52095401,head
ENSG00000134294_SLC38A2,13.51369049,head
ENSG00000197694_SPTAN1,13.51179902,head
ENSG00000151914_DST,13.50944905,head
ENSG00000160789_LMNA,13.50721915,head
ENSG00000135046_ANXA1,13.50565109,head
ENSG00000148344_PTGES,13.50319255,head
ENSG00000107581_EIF3A,13.4980241,head
ENSG00000149418_ST14,13.49316383,head
ENSG00000150093_ITGB1,13.49221241,head
ENSG00000132341_RAN,13.48948226,head
ENSG00000112096_SOD2,13.48934776,head
ENSG00000079459_FDFT1,13.4824339,head
ENSG00000162909_CAPN2,13.48235444,head
ENSG00000165732_DDX21,13.47968851,head
ENSG00000123416_TUBA1B,13.47835607,head
ENSG00000156976_EIF4A2,13.47566626,head
ENSG00000128422_KRT17,13.47518777,head
ENSG00000243678_NME2,13.46816856,head
ENSG00000196230_TUBB,13.4608261,head
ENSG00000118816_CCNI,13.45683243,head
ENSG00000113013_HSPA9,13.45136104,head
ENSG00000173801_JUP,13.45075968,head
ENSG00000100129_EIF3L,13.44801059,head
ENSG00000046604_DSG2,13.4448811,head
ENSG00000084234_APLP2,13.44110846,head
ENSG00000069275_NUCKS1,13.43937947,head
ENSG00000085063_CD59,13.43906986,head
ENSG00000260032_NORAD,13.43694942,head
ENSG00000184640_SEPTIN9,13.41848597,head
ENSG00000161011_SQSTM1,13.41596841,head
ENSG00000039068_CDH1,13.41256003,head
ENSG00000196878_LAMB3,13.40689789,head
ENSG00000180921_FAM83H,13.39959791,head
ENSG00000138119_MYOF,13.39201551,head
ENSG00000104964_TLE5,13.38951797,head
ENSG00000087460_GNAS,13.38871017,head
ENSG00000111669_TPI1,13.38315134,head
ENSG00000184254_ALDH1A3,13.38212052,head
ENSG00000132470_ITGB4,13.37678157,head
ENSG00000159140_SON,13.37437936,head
ENSG00000185215_TNFAIP2,13.3696297,head
ENSG00000089356_FXYD3,13.36585641,head
ENSG00000183255_PTTG1IP,13.35682543,head
ENSG00000107957_SH3PXD2A,13.35565403,head
ENSG00000198911_SREBF2,13.35490664,head
ENSG00000172757_CFL1,13.34479742,head
ENSG00000189403_HMGB1,13.3420602,head
ENSG00000072274_TFRC,13.34094996,head
ENSG00000067560_RHOA,13.33207283,head
ENSG00000174437_ATP2A2,13.3293298,head
ENSG00000153113_CAST,13.32852385,head
ENSG00000008394_MGST1,13.32561012,head
ENSG00000221983_UBA52,13.32508872,head
ENSG00000167004_PDIA3,13.32311332,head
ENSG00000135387_CAPRIN1,13.30110291,head
ENSG00000160932_LY6E,13.29645489,head
ENSG00000137440_FGFBP1,13.29475159,head
ENSG00000178035_IMPDH2,13.29439346,head
ENSG00000006125_AP2B1,13.28529863,head
ENSG00000102554_KLF5,13.27561889,head
ENSG00000057608_GDI2,13.27249193,head
ENSG00000162522_KIAA1522,13.26677483,head
ENSG00000204580_DDR1,13.26278054,head
ENSG00000285976_AL135905.2,13.25785565,head
ENSG00000096433_ITPR3,13.25693148,head
ENSG00000128050_PAICS,13.25262603,head
ENSG00000116560_SFPQ,13.25112974,head
ENSG00000106682_EIF4H,13.25096531,head
ENSG00000188643_S100A16,13.24869671,head
ENSG00000198561_CTNND1,13.2454802,head
ENSG00000147140_NONO,13.24519159,head
ENSG00000147677_EIF3H,13.23656942,head
ENSG00000005022_SLC25A5,13.23631871,head
ENSG00000135316_SYNCRIP,13.23466765,head
ENSG00000117523_PRRC2C,13.23240348,head
ENSG00000130985_UBA1,13.22939759,head
ENSG00000204389_HSPA1A,13.22899821,head
ENSG00000186832_KRT16,13.21977178,head
ENSG00000196754_S100A2,13.21361116,head
ENSG00000134250_NOTCH2,13.21221587,head
ENSG00000079246_XRCC5,13.20656704,head
ENSG00000147676_MAL2,13.20642547,head
ENSG00000170348_TMED10,13.1998701,head
ENSG00000092148_HECTD1,13.19482873,head
ENSG00000048828_FAM120A,13.19309822,head
ENSG00000163468_CCT3,13.1925341,head
ENSG00000026508_CD44,13.19024346,head
ENSG00000143537_ADAM15,13.18230443,head
ENSG00000173821_RNF213,13.17930463,head
ENSG00000141526_SLC16A3,13.17450247,head
ENSG00000145907_G3BP1,13.17310448,head
ENSG00000153201_RANBP2,13.17090862,head
ENSG00000156535_CD109,13.16990237,head
ENSG00000180817_PPA1,13.16909701,head
ENSG00000089597_GANAB,13.16263063,head
ENSG00000138095_LRPPRC,13.15403886,head
ENSG00000136830_NIBAN2,13.15278141,head
ENSG00000138071_ACTR2,13.14580803,head
ENSG00000111642_CHD4,13.14565738,head
ENSG00000011304_PTBP1,13.14397711,head
ENSG00000173402_DAG1,13.13669697,head
ENSG00000213585_VDAC1,13.13353988,head
ENSG00000165389_SPTSSA,13.13346018,head
ENSG00000130723_PRRC2B,13.13211555,head
ENSG00000125868_DSTN,13.12346917,head
ENSG00000173812_EIF1,13.12286763,head
ENSG00000158710_TAGLN2,13.12108058,head
ENSG00000103495_MAZ,13.12097067,head
