sample_id,group_label,label_text,context_value,mean_top_marker_expression
29_24D_H_CPT_RP1,24D_H_CPT,None_MYC,HCPT,9.21790007
31_24D_H_CPT_RP2,24D_H_CPT,None_MYC,HCPT,9.333467375
30_24DT_H_CPT_RP1,24DT_H_CPT,MYC,HCPT,9.92555043
32_24DT_H_CPT_RP2,24DT_H_CPT,MYC,HCPT,9.886763894
