baseline_mode,baseline_label,condition_label,comparison_id,window,baseline_rank,median,q25,q75,n_genes,time_h,dox,tam,cpt_level
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,42,0.0,-8.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,43,0.0,-8.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,44,0.0,-8.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,45,-2.0,-8.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,46,0.0,-5.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,47,0.0,-5.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,48,0.0,-5.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,49,0.0,-5.0,3.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,50,0.0,-3.0,3.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,51,0.0,-5.0,3.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,52,0.0,-5.0,3.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,53,0.0,-5.0,3.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,54,-2.0,-8.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,55,-3.0,-9.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,56,-3.0,-9.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,57,-3.0,-9.0,1.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,58,-3.0,-9.0,1.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,59,-2.0,-9.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,60,-3.0,-11.0,1.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,61,-3.0,-11.0,1.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,62,-3.0,-11.0,1.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,63,-2.0,-9.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,64,-2.0,-9.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,65,-2.0,-10.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,66,0.0,-8.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,67,0.0,-10.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,68,-2.0,-10.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,69,-2.0,-10.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,70,-2.0,-10.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,71,-2.0,-10.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,72,-3.0,-10.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,73,-4.0,-11.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,74,-4.0,-11.0,2.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,75,-4.0,-11.0,3.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,76,-2.0,-10.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,77,-4.0,-10.0,3.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,78,-2.0,-9.0,4.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,79,-2.0,-8.0,5.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,80,0.0,-6.0,5.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,81,-2.0,-6.0,5.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,82,-2.0,-7.0,5.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,83,0.0,-7.0,5.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,84,0.0,-7.0,5.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,85,3.0,-5.0,10.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,86,3.0,-7.0,10.0,17430,24,None_Dox,MYC,None_CPT
matched,24 h Ctrl,24 h Tam,matched::24 h Ctrl__vs__24 h Tam,25,87,0.0,-8.0,10.0,17430,24,None_Dox,MYC,None_CPT
