gene_id,4 h Ctrl,4 h Tam,4 h D,4 h DT,4D_L_CPT,4DT_L_CPT,4D_H_CPT,4DT_H_CPT,24 h Ctrl,24 h Tam,24 h D,24 h DT,24D_L_CPT,24DT_L_CPT,24D_H_CPT,24DT_H_CPT
ENSG00000000003_TSPAN6,9.60359949562031,9.468124905861725,9.618842470724022,9.584310047479462,9.818798515690741,9.911501904094742,10.10335258791429,9.929926398728892,9.597118391025791,9.450272071753092,9.307951204877543,8.828917491983745,10.191608988388086,9.506043910534519,9.044583006401634,7.80550503019014
ENSG00000000419_DPM1,9.778534602557967,9.753933280219343,9.63832360553646,9.926032296466122,9.539002712508788,9.836928968983184,9.317831335401198,9.46536065326616,9.354843841487394,9.37904646827692,9.278168235773801,8.925232380757349,9.617423429113977,9.220241024239142,8.682306035635667,7.986741944862716
ENSG00000000457_SCYL3,8.70074578676861,8.557633169668893,8.596733503617378,8.12994607889442,8.261123284271141,7.928203962167849,7.002042941543534,7.019935723965068,8.90463632525151,8.976824040622176,8.850912503220233,8.88174190048522,8.423965771335999,8.640819664581937,8.82913084869775,8.93076971149317
ENSG00000000460_C1orf112,8.404323604698682,8.284279050094497,8.186500825202668,8.820682056470634,7.01645241234556,7.419061449275302,7.461084704945467,7.764799399666188,8.159318061942976,8.558474465608043,8.86302858329464,8.8083700353115,8.56922349108597,8.468917725155805,8.022647435696232,8.52059261739686
ENSG00000000971_CFH,8.15658399610708,7.691372185849884,7.981085514431578,7.468651373327324,8.210496320733345,8.16965387482904,9.04708849597439,8.699940016409979,8.76225517707126,8.206409123305725,7.868462594060308,7.261229957176914,8.127233960573875,7.450157729711602,7.878463294364472,7.442107118626574
ENSG00000001036_FUCA2,11.54246507920146,11.607985598273666,11.469296891719647,11.646566578414031,11.652501185904645,11.72572241000535,12.00324067769747,11.987168443991589,11.21504726256508,11.415323806878911,11.3851645876557,11.071494066226162,11.818003014773087,11.293160164814193,10.614999229653876,10.38052291167292
ENSG00000001084_GCLC,11.874961258365559,11.826004797804064,11.819274976826124,11.663002495951533,10.539746498225306,10.77297970742545,10.23397477997864,10.244634848007877,11.204904748801384,11.137628417100185,11.506735092280003,11.295185888823227,10.84976386883497,10.76862788696481,10.716789333457635,10.703302572481636
ENSG00000001167_NFYA,9.763136234344465,9.87218668500974,9.725840235275932,9.952564471269461,10.39125071698303,10.470901652131836,8.293405538007462,8.611486194657862,9.713695801949726,9.551701503360066,9.521344941915894,9.461205697656803,9.925671711672123,9.648165239129288,10.017618009716285,9.654676592914072
ENSG00000001460_STPG1,7.633934569498314,7.333598630691134,7.705845803962978,7.446564035159708,7.607828492513171,7.491374335244152,6.664326669765744,6.667240215673036,7.437261039793885,7.622639519535953,7.660682833582921,7.710081041125524,8.668740822027656,8.26164029263212,8.40366475160016,7.797348599165977
ENSG00000001461_NIPAL3,11.351999706343886,11.407041437625473,11.376563956007907,11.169745428465383,10.931393649442201,10.870457737926989,11.614187061737734,11.600701883857221,11.525105139112867,11.423143124331006,11.394102630207904,11.317007522849059,11.348725783814707,11.165482328780666,11.243218535032698,11.153677440485454
