gene_id	1_4_ctrl_RP1	2_4_Tam_RP1	3_4_ctrl_RP2	4_4_Tam_RP2	5_4D_RP1	6_4DT_RP1	7_4D_RP2	8_4DT_RP2	9_4D_L_CPT_RP1	10_4DT_L_CPT_RP1	11_4D_L_CPT_RP2	12_4DT_L_CPT_RP2	13_4D_H_CPT_RP1	14_4DT_H_CPT_RP1	15_4D_H_CPT_RP2	16_4DT_H_CPT_RP2	17_24_ctrl_RP1	18_24_Tam_RP1	19_24_ctrl_RP2	20_24_Tam_RP2	21_24D_RP1	22_24DT_RP1	23_24D_RP2	24_24DT_RP2	25_24D_L_CPT_RP1	26_24DT_L_CPT_RP1	27_24D_L_CPT_RP2	28_24DT_L_CPT_RP2	29_24D_H_CPT_RP1	30_24DT_H_CPT_RP1	31_24D_H_CPT_RP2	32_24DT_H_CPT_RP2
ENSG00000000003_TSPAN6	9.587435637441493	9.460924974139774	9.59569993923098	9.45126448497326	9.73175166416743	9.5672382892549	9.481869651198167	9.577318809809466	9.83205290420617	9.907759537587303	9.781476407019895	9.891174879427824	10.087850770015192	9.858165720528591	10.09478188603229	9.977617387796865	9.640166514336705	9.43491941694906	9.530007015814945	9.441564799210727	9.264674407224787	8.938946471886938	9.327171669990642	8.694847393895131	10.115848725255173	9.549157750161568	10.243295446674807	9.438868856229341	9.140516826403314	7.852580781708162	8.92460061840712	7.734443006474792
ENSG00000000419_DPM1	9.794245657419747	9.677577131904926	9.738756586733086	9.806222964125757	9.589230795404763	9.892608346372022	9.66335227139	9.935386605944066	9.630818333588632	9.982826169062704	9.423125185165048	9.666963868741215	9.215745463417969	9.35166466690668	9.395860679251221	9.554996437362288	9.382878825867472	9.357613334464824	9.30275130905869	9.376421425826734	9.236339203818375	8.880440654334787	9.295941730778782	8.945979375280894	9.537028924490913	9.20964196614205	9.673754257055428	9.206786133617184	8.708728052786967	7.900470405113785	8.631848421883246	8.049014480703274
ENSG00000000457_SCYL3	8.657635945574965	8.535318239904099	8.71981927596495	8.555917799581072	8.647087794630838	8.12719255481529	8.52234725259536	8.108691461291683	8.341044388944631	7.987097101264526	8.157186689551699	7.8453157624613565	7.137867537024337	7.254859277102772	6.842313575459955	6.7611068189504815	8.831918730842794	8.976007995048107	8.95330993521651	8.953593594568371	8.834754029230492	8.780886701978151	8.843028863724927	8.958553974679536	8.565012854916784	8.628285743314514	8.258895016769268	8.62931968656681	8.741901290997214	8.897448221990864	8.892319162139055	8.940046271002107
ENSG00000000460_C1orf112	8.43873615868221	8.225498223117823	8.345887985542374	8.319043011973534	8.150178737228192	8.89060104831382	8.198811461255024	8.726722146848358	6.890509023511132	7.352822702473245	7.118488747315235	7.461347153062269	7.3671326434577535	7.786807392950503	7.531079786709336	7.718808169311317	8.116846507812733	8.578108802940445	8.17777975085354	8.514809804796093	8.908439091790566	8.707993615575422	8.793575564049553	8.884706010794527	8.538969589749158	8.48145144249343	8.575446582221257	8.432357788746636	7.900230171837452	8.557479903432597	8.121063497280332	8.459676737693897
ENSG00000000971_CFH	8.08456562114509	7.539201559169154	8.204592720884527	7.819565906030716	7.96814515080761	7.520691125660339	7.970027122441785	7.392653835777731	8.135557749504756	8.155188634423236	8.261422136075288	8.160108627127627	9.011530394812635	8.635369628414601	9.058597827383075	8.740474109994537	8.77407531005328	8.16936470254294	8.726396259136056	8.21944095452247	7.770347943203601	7.4005135395768535	7.94258644853562	7.0980104426996435	8.051150305887708	7.277533034054862	8.1793097196956	7.5988271265276275	7.873869790313441	7.442321158190063	7.859065103672489	7.417937700726998
ENSG00000001036_FUCA2	11.53363490649163	11.61975178455166	11.527208848894862	11.572132649866255	11.332165757849564	11.654025843194331	11.582342076647627	11.615020346595374	11.640589937420126	11.741121251489568	11.64032543568063	11.68623619916972	11.887210890653122	11.931700616267836	12.095181859289431	12.018547719673256	11.160120289535792	11.418099630132541	11.24588990359496	11.388462328351716	11.33037414645202	11.095909421389404	11.415869564231006	11.022995443009943	11.749757216978074	11.272229553199537	11.86216100436244	11.29000590368948	10.674034861298342	10.31942857266304	10.53188452974881	10.41754089683855
ENSG00000001084_GCLC	11.90816761632305	11.789896369438365	11.817666830870541	11.838025376740447	11.857016201340398	11.644641392811609	11.757445937101956	11.657276545945388	10.5196201057102	10.79189117099926	10.535794630086748	10.72998755988241	10.22660891508122	10.21501396857969	10.217266221221873	10.250181157254387	11.195438109993255	11.14402271096211	11.190287122935963	11.107150348721559	11.508282480527226	11.300677265668105	11.481101504765011	11.265609626238508	10.829983802764009	10.776114855157168	10.845462531252108	10.737060274663984	10.623676623238854	10.651208653584902	10.78582192840858	10.73131649402449
ENSG00000001167_NFYA	9.812603618888424	9.897041565987431	9.689602204654715	9.823263114926323	9.665993075682087	9.943384584368042	9.761621469311775	9.93767426165174	10.392532562893978	10.546385262054965	10.365892373038545	10.371340607101756	8.42397458945321	8.885460278383144	8.138819468194498	8.31348067614389	9.725722884066787	9.512261843363124	9.677603024128604	9.567078893593832	9.530821885208073	9.430799772921507	9.487806412243573	9.46755143660819	9.855933947589401	9.635394573722259	9.971339858523601	9.636871543841178	10.092850865903424	9.599748930367713	9.918314023088792	9.685539772244042
ENSG00000001460_STPG1	7.66698097983795	7.371960018931621	7.576915513171082	7.271292818137252	7.612401859144075	7.318715720595479	7.775311305572593	7.55045698487994	7.571792094409283	7.5264208235435675	7.619894426715834	7.432367864146912	6.572509987305758	6.696935618890854	6.73228773870839	6.613688450980216	7.452172167653554	7.413838001253073	7.39839502100017	7.8074704340770245	7.503359669884928	7.607059587021713	7.794031661653095	7.789123757665139	8.581054345578305	8.192841543030513	8.73239231916221	8.306423424859041	8.474432625196567	7.707566368936885	8.308873926116231	7.863145237848242
ENSG00000001461_NIPAL3	11.366633216433636	11.369575088045512	11.313280939595614	11.420422183851981	11.361312689494136	11.117654695408476	11.36772980803316	11.197752153743625	10.932147628687154	10.820216956561735	10.90655754561506	10.896616933264099	11.619244503937104	11.594228645895658	11.58504282364747	11.5830883979251	11.531375374728617	11.405351122858757	11.494748599317735	11.416849422247886	11.31859699284906	11.266792537143939	11.445522751796608	11.343137480887817	11.3425256151804	11.168351791029906	11.330840715313487	11.13852888634949	11.229113815497474	11.246592480917773	11.233238721263943	11.036678533972887
