sample_id,size_factor
1_4_ctrl_RP1,1.231261540990187
2_4_Tam_RP1,1.129696074609026
3_4_ctrl_RP2,1.1530439210292864
4_4_Tam_RP2,1.316117190462601
5_4D_RP1,0.9502446990145985
6_4DT_RP1,1.2922003265869557
7_4D_RP2,1.1371994727821548
8_4DT_RP2,1.287123181098582
9_4D_L_CPT_RP1,0.9775160605628713
10_4DT_L_CPT_RP1,1.0525455908975954
11_4D_L_CPT_RP2,0.935077860019134
12_4DT_L_CPT_RP2,0.8559990529762775
13_4D_H_CPT_RP1,0.7008233152039152
14_4DT_H_CPT_RP1,0.8370016598588287
15_4D_H_CPT_RP2,0.7121062198582954
16_4DT_H_CPT_RP2,0.9491322580781025
17_24_ctrl_RP1,1.0050735213345565
18_24_Tam_RP1,0.9969041202799465
19_24_ctrl_RP2,1.0673235408642505
20_24_Tam_RP2,1.1075342404095951
21_24D_RP1,1.0030958797200533
22_24DT_RP1,0.9228544655449639
23_24D_RP2,1.1632070620046149
24_24DT_RP2,0.9264845874783466
25_24D_L_CPT_RP1,1.18074826403412
26_24DT_L_CPT_RP1,1.0184791434935334
27_24D_L_CPT_RP2,1.2773490116537662
28_24DT_L_CPT_RP2,0.9696451389546086
29_24D_H_CPT_RP1,0.9247794611894248
30_24DT_H_CPT_RP1,0.7691197493994678
31_24D_H_CPT_RP2,0.9300337706524396
32_24DT_H_CPT_RP2,0.9058285508826152
