gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000148303_RPL7A,ENSG00000148303,45524.4911982544,45524.4911982544,45504.7789237789,45524.4911982544,-0.000624813891683118,40,head,Neutral,,,normcounts
ENSG00000254772_EEF1G,ENSG00000254772,45252.1750335305,45252.1750335305,44592.5622025245,45252.1750335305,-0.0211835685272757,41,head,Neutral,,,normcounts
ENSG00000170421_KRT8,ENSG00000170421,43536.7508291881,43536.7508291881,52921.3345039119,43536.7508291881,0.281609823543439,42,head,Neutral,,,normcounts
ENSG00000169710_FASN,ENSG00000169710,41539.2051267491,41539.2051267491,44981.4705025309,41539.2051267491,0.114854557925556,43,head,Neutral,,,normcounts
ENSG00000174748_RPL15,ENSG00000174748,41425.8545366325,41425.8545366325,37826.5152086383,41425.8545366325,-0.131130270742604,44,head,Neutral,,,normcounts
ENSG00000145425_RPS3A,ENSG00000145425,40909.8514536891,40909.8514536891,37721.4302784019,40909.8514536891,-0.117060938459396,45,head,Neutral,,,normcounts
ENSG00000137154_RPS6,ENSG00000137154,40341.0680021875,40341.0680021875,38503.847602607,40341.0680021875,-0.067244954179813,46,head,Neutral,,,normcounts
ENSG00000182718_ANXA2,ENSG00000182718,40139.5308995041,40139.5308995041,45507.428523013,40139.5308995041,0.181074070715631,47,head,Neutral,,,normcounts
ENSG00000167526_RPL13,ENSG00000167526,38482.2149546635,38482.2149546635,38970.960625412,38482.2149546635,0.0182071839300146,48,head,Neutral,,,normcounts
ENSG00000103257_SLC7A5,ENSG00000103257,37492.8650559881,37492.8650559881,35932.2462877803,37492.8650559881,-0.0613352761032306,49,head,Neutral,,,normcounts
ENSG00000198034_RPS4X,ENSG00000198034,37358.9118905091,37358.9118905091,34120.749281648,37358.9118905091,-0.130799443015404,50,head,Neutral,,,normcounts
ENSG00000149273_RPS3,ENSG00000149273,37139.8262489545,37139.8262489545,36874.2550754766,37139.8262489545,-0.0103528814899683,51,head,Neutral,,,normcounts
ENSG00000229117_RPL41,ENSG00000229117,36509.3027040557,36509.3027040557,32734.335916045,36509.3027040557,-0.157454846770671,52,head,Neutral,,,normcounts
ENSG00000168028_RPSA,ENSG00000168028,36323.3677440093,36323.3677440093,32541.0775393772,36323.3677440093,-0.158631328805066,53,head,Neutral,,,normcounts
ENSG00000204628_RACK1,ENSG00000204628,35969.648568769,35969.648568769,37296.7692988198,35969.648568769,0.0522691762825343,54,head,Neutral,,,normcounts
ENSG00000181163_NPM1,ENSG00000181163,35907.3493173702,35907.3493173702,36006.5234920307,35907.3493173702,0.00397904315351028,55,head,Neutral,,,normcounts
ENSG00000115112_TFCP2L1,ENSG00000115112,35597.8352264434,35597.8352264434,31130.5235137814,35597.8352264434,-0.193453856694713,56,head,Neutral,,,normcounts
ENSG00000163931_TKT,ENSG00000163931,35448.9377356189,35448.9377356189,30856.8617025489,35448.9377356189,-0.200144999783525,57,head,Neutral,,,normcounts
ENSG00000147604_RPL7,ENSG00000147604,34616.9107740173,34616.9107740173,32489.0699699018,34616.9107740173,-0.0915198085974964,58,head,Neutral,,,normcounts
ENSG00000063046_EIF4B,ENSG00000063046,34317.6760155186,34317.6760155186,33582.1992920738,34317.6760155186,-0.0312542213242768,59,head,Neutral,,,normcounts
ENSG00000134333_LDHA,ENSG00000134333,34054.303064289,34054.303064289,37221.110885675,34054.303064289,0.128280402681639,60,head,Neutral,,,normcounts
ENSG00000096696_DSP,ENSG00000096696,34031.1413611867,34031.1413611867,31869.226358389,34031.1413611867,-0.0946886651273129,61,head,Neutral,,,normcounts
ENSG00000080824_HSP90AA1,ENSG00000080824,34000.7859442596,34000.7859442596,44262.0083476391,34000.7859442596,0.380490981710388,62,head,Up,,,normcounts
ENSG00000184009_ACTG1,ENSG00000184009,33905.4865367048,33905.4865367048,35278.9678360415,33905.4865367048,0.057287948687927,63,head,Neutral,,,normcounts
ENSG00000096384_HSP90AB1,ENSG00000096384,33332.7412627091,33332.7412627091,39275.409147491,33332.7412627091,0.236679787448878,64,head,Neutral,,,normcounts
