type,band,a,b,c,d,odds_ratio,conf_low,conf_high,p_value,y
EBOX,head,104,65,48,68,2.26666666666667,1.39941997489594,3.67136232863891,0.00107010566772373,2.26666666666667
EBOX,mid,1341,1122,943,1691,2.14322534180934,1.91536815129991,2.39818901794744,6.25028524452314e-41,2.14322534180934
EBOX,tail,293,401,157,299,1.39153708086472,1.08919959418914,1.77779670296613,0.00944956627478616,1.39153708086472
TETO,head,28,141,24,92,0.761229314420804,0.415604203901851,1.39428346415479,0.435585703378623,0.761229314420804
TETO,mid,539,1924,595,2039,0.960028127675186,0.841183095489404,1.09566396527655,0.566766703216764,0.960028127675186
TETO,tail,152,542,112,344,0.86136004217185,0.65166731730198,1.1385274396176,0.315770986338016,0.86136004217185
