gene_id	log_expression	timepoint	condition
ENSG00000006194_ZNF263	9.469764550321633	4h	Ctrl
ENSG00000006210_CX3CL1	2.8860421223611965	4h	Ctrl
ENSG00000006282_SPATA20	8.51988676041111	4h	Ctrl
ENSG00000006327_TNFRSF12A	10.36831777237986	4h	Ctrl
ENSG00000006432_MAP3K9	10.356641420424529	4h	Ctrl
ENSG00000006451_RALA	10.75852871492112	4h	Ctrl
ENSG00000006453_BAIAP2L1	10.251301473783023	4h	Ctrl
ENSG00000006459_KDM7A	8.979517691009223	4h	Ctrl
ENSG00000006468_ETV1	1.9715917999834933	4h	Ctrl
ENSG00000006530_AGK	9.701596265505321	4h	Ctrl
ENSG00000006534_ALDH3B1	11.317879172494292	4h	Ctrl
ENSG00000006555_TTC22	9.51508340973772	4h	Ctrl
ENSG00000006576_PHTF2	8.932048896817998	4h	Ctrl
ENSG00000006607_FARP2	10.565835188027236	4h	Ctrl
ENSG00000006625_GGCT	10.602677919940652	4h	Ctrl
ENSG00000006634_DBF4	9.405749098472135	4h	Ctrl
ENSG00000006652_IFRD1	9.632063953865813	4h	Ctrl
ENSG00000006695_COX10	9.933062146066751	4h	Ctrl
ENSG00000006704_GTF2IRD1	10.167064392752922	4h	Ctrl
ENSG00000006712_PAF1	9.677648361410647	4h	Ctrl
ENSG00000006715_VPS41	10.312244266489111	4h	Ctrl
ENSG00000006744_ELAC2	11.548067553007211	4h	Ctrl
ENSG00000006747_SCIN	4.87783433082162	4h	Ctrl
ENSG00000006756_ARSD	7.9281533244052325	4h	Ctrl
ENSG00000006757_PNPLA4	8.760541449635067	4h	Ctrl
ENSG00000006831_ADIPOR2	11.257436172196588	4h	Ctrl
ENSG00000006837_CDKL3	4.4861943426743425	4h	Ctrl
ENSG00000007038_PRSS21	8.793725499145456	4h	Ctrl
ENSG00000007047_MARK4	10.173953836541035	4h	Ctrl
ENSG00000007062_PROM1	4.531504585089079	4h	Ctrl
ENSG00000007080_CCDC124	9.834875337456934	4h	Ctrl
ENSG00000007168_PAFAH1B1	11.97976257131377	4h	Ctrl
ENSG00000007202_KIAA0100	12.898111712564255	4h	Ctrl
ENSG00000007255_TRAPPC6A	7.694499519773679	4h	Ctrl
ENSG00000007341_ST7L	8.347949007634394	4h	Ctrl
ENSG00000007376_RPUSD1	10.757540407914037	4h	Ctrl
ENSG00000007384_RHBDF1	9.726276843670629	4h	Ctrl
ENSG00000007392_LUC7L	9.634887781055172	4h	Ctrl
ENSG00000007402_CACNA2D2	0.5233321747965815	4h	Ctrl
ENSG00000007516_BAIAP3	3.462350140848827	4h	Ctrl
ENSG00000007520_TSR3	9.5877011744277	4h	Ctrl
ENSG00000007541_PIGQ	9.495685230827279	4h	Ctrl
ENSG00000007545_CRAMP1	9.797656963219824	4h	Ctrl
