sample_id	median_ratio_size_factor
1_4_ctrl_RP1	1.2210226733233571
2_4_Tam_RP1	1.1203018003410592
3_4_ctrl_RP2	1.1434554918219797
4_4_Tam_RP2	1.3051726841180336
5_4D_RP1	0.9423426981801588
6_4DT_RP1	1.2814547069907158
7_4D_RP2	1.127742802103362
8_4DT_RP2	1.2764197817935232
9_4D_L_CPT_RP1	0.9693872778038031
10_4DT_L_CPT_RP1	1.0437928810469805
11_4D_L_CPT_RP2	0.9273019828815912
12_4DT_L_CPT_RP2	0.8488807757178901
13_4D_H_CPT_RP1	0.694995441154968
14_4DT_H_CPT_RP1	0.8300413602418032
15_4D_H_CPT_RP2	0.706184519953665
16_4DT_H_CPT_RP2	0.9412395080284521
17_24_ctrl_RP1	0.9967155775201941
18_24_Tam_RP1	0.9886141111923092
19_24_ctrl_RP2	1.058447941222106
20_24_Tam_RP2	1.0983242584955013
21_24D_RP1	0.9947543814861863
22_24DT_RP1	0.9151802351447664
23_24D_RP2	1.153534118620538
24_24DT_RP2	0.9187801698783927
25_24D_L_CPT_RP1	1.1709294523350522
26_24DT_L_CPT_RP1	1.010009721827628
27_24D_L_CPT_RP2	1.2667268919340489
28_24DT_L_CPT_RP2	0.9615818088407168
29_24D_H_CPT_RP1	0.9170892229996516
30_24DT_H_CPT_RP1	0.7627239390278422
31_24D_H_CPT_RP2	0.9222998389195146
32_24DT_H_CPT_RP2	0.8982959037946006
