contrast_id	timepoint	numerator	denominator	x	ci_low	ci_high
D_vs_Ctrl_4h	4h	D	Ctrl	0.0	-0.0008637319991026969	0.00545153292074752
D_vs_Ctrl_4h	4h	D	Ctrl	0.021505376344086023	-0.0009326198460683713	0.005371543587701956
D_vs_Ctrl_4h	4h	D	Ctrl	0.043010752688172046	-0.0010050219087028589	0.005245196927842558
D_vs_Ctrl_4h	4h	D	Ctrl	0.06451612903225806	-0.0010737220079151378	0.005103914977080805
D_vs_Ctrl_4h	4h	D	Ctrl	0.08602150537634409	-0.0011280894458434265	0.004916191732715606
D_vs_Ctrl_4h	4h	D	Ctrl	0.10752688172043012	-0.001203063181697959	0.004722179144163943
D_vs_Ctrl_4h	4h	D	Ctrl	0.12903225806451613	-0.0012741761728214725	0.0044686738893405
D_vs_Ctrl_4h	4h	D	Ctrl	0.15053763440860216	-0.0013646247907497704	0.0041758793528028325
D_vs_Ctrl_4h	4h	D	Ctrl	0.17204301075268819	-0.0014530715047055647	0.003944898918443643
D_vs_Ctrl_4h	4h	D	Ctrl	0.19354838709677422	-0.0015645438315349837	0.003666936486040356
D_vs_Ctrl_4h	4h	D	Ctrl	0.21505376344086025	-0.0016802210800402196	0.0034089740457166453
D_vs_Ctrl_4h	4h	D	Ctrl	0.23655913978494625	-0.0017576604267258102	0.003188878740664069
D_vs_Ctrl_4h	4h	D	Ctrl	0.25806451612903225	-0.0018404605704578118	0.0029848818630257437
D_vs_Ctrl_4h	4h	D	Ctrl	0.2795698924731183	-0.0019379557510440899	0.0028561665488799465
D_vs_Ctrl_4h	4h	D	Ctrl	0.3010752688172043	-0.002052884553187203	0.00275215040117418
D_vs_Ctrl_4h	4h	D	Ctrl	0.32258064516129037	-0.002174566208807468	0.0027068063662894263
D_vs_Ctrl_4h	4h	D	Ctrl	0.34408602150537637	-0.002306641144972236	0.0026870997984325723
D_vs_Ctrl_4h	4h	D	Ctrl	0.3655913978494624	-0.0024183666790080077	0.002703074469984347
D_vs_Ctrl_4h	4h	D	Ctrl	0.38709677419354843	-0.002521324410072546	0.002722634938359404
D_vs_Ctrl_4h	4h	D	Ctrl	0.40860215053763443	-0.0026289915808620544	0.0027724281851813108
D_vs_Ctrl_4h	4h	D	Ctrl	0.4301075268817205	-0.002729788169520372	0.0028734565652176395
D_vs_Ctrl_4h	4h	D	Ctrl	0.4516129032258065	-0.002802810889303006	0.0029654049567366275
D_vs_Ctrl_4h	4h	D	Ctrl	0.4731182795698925	-0.0028494743156546407	0.0030541748635221568
D_vs_Ctrl_4h	4h	D	Ctrl	0.49462365591397855	-0.002898126793241215	0.0031313175749309186
D_vs_Ctrl_4h	4h	D	Ctrl	0.5161290322580645	-0.0029509963411945223	0.00323592585033876
D_vs_Ctrl_4h	4h	D	Ctrl	0.5376344086021506	-0.0030043065758412323	0.0032892114688241503
D_vs_Ctrl_4h	4h	D	Ctrl	0.5591397849462366	-0.0030301752629622917	0.003345673618597085
D_vs_Ctrl_4h	4h	D	Ctrl	0.5806451612903226	-0.0030400906860579397	0.003383609310953305
D_vs_Ctrl_4h	4h	D	Ctrl	0.6021505376344086	-0.0031192727373363896	0.00340632622079425
D_vs_Ctrl_4h	4h	D	Ctrl	0.6236559139784946	-0.003174344038481205	0.003405701872253734
