contrast_id	gene_id	baseline_bin	n_methods	spread_iqr	phase
DT_vs_D_24h	ENSG00000005243_COPZ2	Non-head	6	0.0773526283770561	Late
DT_vs_D_24h	ENSG00000005249_PRKAR2B	Non-head	6	0.9073984533752437	Late
DT_vs_D_24h	ENSG00000005302_MSL3	Non-head	6	0.3845156086292512	Late
DT_vs_D_24h	ENSG00000005339_CREBBP	Head	6	0.2563277722762928	Late
DT_vs_D_24h	ENSG00000005379_TSPOAP1	Non-head	6	0.4761843282679762	Late
DT_vs_D_24h	ENSG00000005436_GCFC2	Non-head	6	0.6680429322035081	Late
DT_vs_D_24h	ENSG00000005448_WDR54	Non-head	6	0.26439093369351163	Late
DT_vs_D_24h	ENSG00000005469_CROT	Non-head	6	0.04392622626955417	Late
DT_vs_D_24h	ENSG00000005483_KMT2E	Non-head	6	0.08326613829817853	Late
DT_vs_D_24h	ENSG00000005486_RHBDD2	Non-head	6	0.5111892700290263	Late
DT_vs_D_24h	ENSG00000005700_IBTK	Non-head	6	0.13020634712224255	Late
DT_vs_D_24h	ENSG00000005801_ZNF195	Non-head	6	0.08096840634785718	Late
DT_vs_D_24h	ENSG00000005810_MYCBP2	Head	6	0.10990132206101988	Late
DT_vs_D_24h	ENSG00000005812_FBXL3	Non-head	6	0.4692606226195799	Late
DT_vs_D_24h	ENSG00000005882_PDK2	Non-head	6	0.3265919747221814	Late
DT_vs_D_24h	ENSG00000005884_ITGA3	Head	6	0.5901136157547284	Late
DT_vs_D_24h	ENSG00000005889_ZFX	Non-head	6	0.15114511341303505	Late
DT_vs_D_24h	ENSG00000005893_LAMP2	Non-head	6	0.01867442923800189	Late
DT_vs_D_24h	ENSG00000005961_ITGA2B	Non-head	6	0.3781182738086605	Late
DT_vs_D_24h	ENSG00000005981_ASB4	Non-head	6	0.10006241717287631	Late
DT_vs_D_24h	ENSG00000006007_GDE1	Non-head	6	0.8234482540034125	Late
DT_vs_D_24h	ENSG00000006015_REX1BD	Non-head	6	0.21529009700562418	Late
DT_vs_D_24h	ENSG00000006025_OSBPL7	Non-head	6	1.17950861420056	Late
DT_vs_D_24h	ENSG00000006042_TMEM98	Non-head	6	0.2933547859849672	Late
DT_vs_D_24h	ENSG00000006047_YBX2	Non-head	6	0.420520496249396	Late
DT_vs_D_24h	ENSG00000006062_MAP3K14	Non-head	6	0.15364607150626886	Late
DT_vs_D_24h	ENSG00000006118_TMEM132A	Non-head	6	0.14249452557907016	Late
DT_vs_D_24h	ENSG00000006125_AP2B1	Head	6	0.7115752554683392	Late
DT_vs_D_24h	ENSG00000006194_ZNF263	Non-head	6	0.3338776572436436	Late
DT_vs_D_24h	ENSG00000006210_CX3CL1	Non-head	6	0.21153478608827342	Late
DT_vs_D_24h	ENSG00000006282_SPATA20	Non-head	6	0.4949778347936271	Late
DT_vs_D_24h	ENSG00000006327_TNFRSF12A	Non-head	6	0.19451628465993143	Late
DT_vs_D_24h	ENSG00000006432_MAP3K9	Non-head	6	0.27569669992625334	Late
DT_vs_D_24h	ENSG00000006451_RALA	Non-head	6	0.3954287912203531	Late
DT_vs_D_24h	ENSG00000006453_BAIAP2L1	Non-head	6	0.3346570698103259	Late
DT_vs_D_24h	ENSG00000006459_KDM7A	Non-head	6	0.0658846763796962	Late
DT_vs_D_24h	ENSG00000006468_ETV1	Non-head	6	0.17829703891163917	Late
DT_vs_D_24h	ENSG00000006530_AGK	Non-head	6	0.36411451249194865	Late
DT_vs_D_24h	ENSG00000006534_ALDH3B1	Non-head	6	0.042630839852003555	Late
DT_vs_D_24h	ENSG00000006555_TTC22	Non-head	6	0.1341172214181185	Late
DT_vs_D_24h	ENSG00000006576_PHTF2	Non-head	6	0.2570476132373988	Late
DT_vs_D_24h	ENSG00000006607_FARP2	Non-head	6	0.40669544406826946	Late
DT_vs_D_24h	ENSG00000006625_GGCT	Non-head	6	0.40869279957519655	Late
DT_vs_D_24h	ENSG00000006634_DBF4	Non-head	6	0.2881513303915112	Late
DT_vs_D_24h	ENSG00000006652_IFRD1	Non-head	6	0.18595474934053213	Late
DT_vs_D_24h	ENSG00000006695_COX10	Non-head	6	0.06671481858574477	Late
DT_vs_D_24h	ENSG00000006704_GTF2IRD1	Non-head	6	0.40726824042456933	Late
DT_vs_D_24h	ENSG00000006712_PAF1	Non-head	6	0.33254894516797606	Late
DT_vs_D_24h	ENSG00000006715_VPS41	Non-head	6	0.035032157705744305	Late
DT_vs_D_24h	ENSG00000006744_ELAC2	Head	6	0.34840049539746465	Late
DT_vs_D_24h	ENSG00000006747_SCIN	Non-head	6	0.045870379064452266	Late
DT_vs_D_24h	ENSG00000006756_ARSD	Non-head	6	0.030047810086312333	Late
DT_vs_D_24h	ENSG00000006757_PNPLA4	Non-head	6	0.13025027065801498	Late
DT_vs_D_24h	ENSG00000006831_ADIPOR2	Non-head	6	0.11480004941645161	Late
DT_vs_D_24h	ENSG00000006837_CDKL3	Non-head	6	0.08693877314120282	Late
DT_vs_D_24h	ENSG00000007038_PRSS21	Non-head	6	0.077733917097181	Late
DT_vs_D_24h	ENSG00000007047_MARK4	Non-head	6	0.11509688615803249	Late
DT_vs_D_24h	ENSG00000007062_PROM1	Non-head	6	0.5186464475850594	Late
DT_vs_D_24h	ENSG00000007080_CCDC124	Non-head	6	0.14363955548346796	Late
DT_vs_D_24h	ENSG00000007168_PAFAH1B1	Head	6	0.07777048098418138	Late
DT_vs_D_24h	ENSG00000007202_KIAA0100	Head	6	0.35103368792872525	Late
DT_vs_D_24h	ENSG00000007255_TRAPPC6A	Non-head	6	0.435794296970119	Late
DT_vs_D_24h	ENSG00000007341_ST7L	Non-head	6	0.22063876716623754	Late
DT_vs_D_24h	ENSG00000007376_RPUSD1	Non-head	6	0.12807604318545796	Late
DT_vs_D_24h	ENSG00000007384_RHBDF1	Non-head	6	0.1547302509303845	Late
DT_vs_D_24h	ENSG00000007392_LUC7L	Non-head	6	0.4948977759334716	Late
DT_vs_D_24h	ENSG00000007402_CACNA2D2	Non-head	6	0.3365350031743125	Late
DT_vs_D_24h	ENSG00000007516_BAIAP3	Non-head	6	0.24364219563499825	Late
DT_vs_D_24h	ENSG00000007520_TSR3	Non-head	6	0.4096423271032309	Late
DT_vs_D_24h	ENSG00000007541_PIGQ	Non-head	6	0.5249358831945088	Late
DT_vs_D_24h	ENSG00000007545_CRAMP1	Non-head	6	0.13013633481550735	Late
DT_vs_D_24h	ENSG00000007866_TEAD3	Non-head	6	0.17131651051137275	Late
DT_vs_D_24h	ENSG00000007923_DNAJC11	Non-head	6	0.1361715782475339	Late
DT_vs_D_24h	ENSG00000007944_MYLIP	Non-head	6	0.3127790447358305	Late
DT_vs_D_24h	ENSG00000007968_E2F2	Non-head	6	0.18392319329849616	Late
DT_vs_D_24h	ENSG00000008018_PSMB1	Non-head	6	0.06895971562391634	Late
DT_vs_D_24h	ENSG00000008083_JARID2	Non-head	6	0.45940521919149324	Late
DT_vs_D_24h	ENSG00000008086_CDKL5	Non-head	6	0.27034491407335026	Late
DT_vs_D_24h	ENSG00000008128_CDK11A	Non-head	6	0.4454439503476135	Late
DT_vs_D_24h	ENSG00000008130_NADK	Non-head	6	0.3576253562307865	Late
DT_vs_D_24h	ENSG00000008226_DLEC1	Non-head	6	0.3294727627095513	Late
DT_vs_D_24h	ENSG00000008256_CYTH3	Non-head	6	0.28255585467769817	Late
DT_vs_D_24h	ENSG00000008282_SYPL1	Head	6	1.2320970400243285	Late
DT_vs_D_24h	ENSG00000008283_CYB561	Non-head	6	0.3060473539487468	Late
DT_vs_D_24h	ENSG00000008294_SPAG9	Head	6	0.19066307747593803	Late
DT_vs_D_24h	ENSG00000008300_CELSR3	Non-head	6	1.031709654989457	Late
DT_vs_D_24h	ENSG00000008311_AASS	Non-head	6	0.1471464848825468	Late
DT_vs_D_24h	ENSG00000008323_PLEKHG6	Non-head	6	0.17197760787936447	Late
