gene_id	contrast_id	method_raw	method	signed_effect	signed_score_input	baseline_expression	pval	padj	direction_input	method_note	direction_input_norm	q_for_score	has_q	sig_from_q	sig_from_direction_only	sig	direction	neglog10	signed_score	score_for_agreement
ENSG00000237481_AL117350.1	DT_vs_D_24h	PenDA	PenDA	-0.1978729543100659	NA	-2.5223611962359302	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	-0.20991381484260682
ENSG00000159348_CYB5R1	DT_vs_D_24h	PenDA	PenDA	0.05823655801966598	1.3328480714462636	4.3635440140138355	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000106868_SUSD1	DT_vs_D_24h	PenDA	PenDA	0.25858515024351325	1.3328480714462636	2.7816283391328795	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000108883_EFTUD2	DT_vs_D_24h	PenDA	PenDA	0.01161490144121657	1.3328480714462636	6.892152405405133	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000100644_HIF1A	DT_vs_D_24h	PenDA	PenDA	-0.2208372651754491	-1.3328480714462636	6.893207632371653	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000249007_AL691482.3	DT_vs_D_24h	PenDA	PenDA	0.2460225665432203	1.3328480714462636	3.640020376902946	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000251322_SHANK3	DT_vs_D_24h	PenDA	PenDA	0.8842095717145906	1.3328480714462636	1.3596815204808737	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Up	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000156504_FAM122B	DT_vs_D_24h	PenDA	PenDA	0.03505952229361142	1.3328480714462636	5.11941001070735	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000150401_DCUN1D2	DT_vs_D_24h	PenDA	PenDA	0.4845321270307803	1.3328480714462636	3.5906434049615226	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000198791_CNOT7	DT_vs_D_24h	PenDA	PenDA	-0.3983202252134683	-1.3328480714462636	6.641181876159912	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000179532_DNHD1	DT_vs_D_24h	PenDA	PenDA	1.3652576514346464	1.3328480714462636	5.108382020118027	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Up	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000267834_AL592211.1	DT_vs_D_24h	PenDA	PenDA	1.2500115179991238	NA	-1.5237657202866002	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	0.3182989567888152
ENSG00000143436_MRPL9	DT_vs_D_24h	PenDA	PenDA	-0.11797689696790492	1.3328480714462636	5.298684987288377	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000104983_CCDC61	DT_vs_D_24h	PenDA	PenDA	0.5457838206106858	1.3328480714462636	3.210737060987011	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000116747_RO60	DT_vs_D_24h	PenDA	PenDA	-0.5933136356258268	-1.3328480714462636	6.854361464540613	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Down	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000123154_WDR83	DT_vs_D_24h	PenDA	PenDA	0.0638167452730305	-0.4340310756589579	2.2774643251730513	0.35999999999999976	0.3681026333558404	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.3681026333558404	TRUE	FALSE	FALSE	FALSE	NS	0.4340310756589579	-0.4340310756589579	-0.3198121605163447
ENSG00000168264_IRF2BP2	DT_vs_D_24h	PenDA	PenDA	-0.2076006903913683	-1.3328480714462636	7.403517788656769	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000116668_SWT1	DT_vs_D_24h	PenDA	PenDA	0.0283303249929423	1.3328480714462636	2.821022019245711	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000120690_ELF1	DT_vs_D_24h	PenDA	PenDA	-0.2507981436001492	-1.3328480714462636	6.385151836637064	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000164125_GASK1B	DT_vs_D_24h	PenDA	PenDA	-0.23974852114182177	-1.3328480714462636	4.4802253598349795	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000159592_GPBP1L1	DT_vs_D_24h	PenDA	PenDA	-0.06067330344508992	-1.3328480714462636	7.152966104485312	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000162104_ADCY9	DT_vs_D_24h	PenDA	PenDA	0.1185286585644878	0.4340310756589579	5.4931539930887485	0.35999999999999976	0.3681026333558404	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.3681026333558404	TRUE	FALSE	FALSE	FALSE	NS	0.4340310756589579	0.4340310756589579	0.07110257145296918
ENSG00000163704_PRRT3	DT_vs_D_24h	PenDA	PenDA	0.62802451830075	1.3328480714462636	0.7714676495517061	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Up	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000134574_DDB2	DT_vs_D_24h	PenDA	PenDA	0.6030573388439011	1.3328480714462636	4.191025891620639	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Up	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000204152_TIMM23B	DT_vs_D_24h	PenDA	PenDA	0.7642404688981643	1.3328480714462636	3.427809873096653	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Up	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000106086_PLEKHA8	DT_vs_D_24h	PenDA	PenDA	4.18016812926858e-4	1.3328480714462636	4.917677966801159	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000086102_NFX1	DT_vs_D_24h	PenDA	PenDA	0.2948377875799615	1.3328480714462636	6.235296091237263	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000006125_AP2B1	DT_vs_D_24h	PenDA	PenDA	-0.38149453788914656	-1.3328480714462636	8.637723583092182	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000106554_CHCHD3	DT_vs_D_24h	PenDA	PenDA	-0.3129718412618372	-1.3328480714462636	5.6828917565220465	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000169245_CXCL10	DT_vs_D_24h	PenDA	PenDA	-0.738724702071891	NA	-0.12880833069972236	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	-0.42749485346754507
ENSG00000163795_ZNF513	DT_vs_D_24h	PenDA	PenDA	0.6413557812738384	1.3328480714462636	3.3897092154734416	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Up	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000113387_SUB1	DT_vs_D_24h	PenDA	PenDA	-0.4498223453703432	-1.3328480714462636	6.269602185907764	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000145020_AMT	DT_vs_D_24h	PenDA	PenDA	1.158924331829418	1.3328480714462636	0.5486927050107233	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	TRUE	FALSE	TRUE	Up	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000149527_PLCH2	DT_vs_D_24h	PenDA	PenDA	0.5095783851455598	NA	-3.64951637462476	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	0.14707204119001693
ENSG00000235530_AC087294.1	DT_vs_D_24h	PenDA	PenDA	0.4050565362588998	1.3328480714462636	1.6092136573767144	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
