gene_id	pval	padj	method_log2FC	signed_score	direction	native_method	method_note
ENSG00000004660_CAMKK1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004700_RECQL	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004766_VPS50	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004777_ARHGAP33	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004779_NDUFAB1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004799_PDK4	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004838_ZMYND10	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004864_SLC25A13	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004866_ST7	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004897_CDC27	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004961_HCCS	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000004975_DVL2	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000005001_PRSS22	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
