gene_id	contrast_id	method	pval	padj	method_log2FC	signed_score	direction	baseline_expression	k_up	k_down	k_any	method_note
ENSG00000180902_D2HGDH	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.9820845108396572	1.3328480714462636	Up	5.334865099083727	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000124333_VAMP7	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.5155322723340374	-1.3328480714462636	Down	5.335050705264253	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000140474_ULK3	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.8329913649601117	1.3328480714462636	Up	5.335090317324326	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000128340_RAC2	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.32513173953337393	-1.3328480714462636	Down	5.3351689318877025	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000143499_SMYD2	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.3385236546183501	1.3328480714462636	Up	5.3353459762644615	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000168411_RFWD3	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.07692858621813947	1.3328480714462636	Up	5.335706681722536	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000012048_BRCA1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.10872385620960046	1.3328480714462636	Up	5.335929439800024	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000141524_TMC6	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.503096093543351	1.3328480714462636	Up	5.335936544438416	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000109436_TBC1D9	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.0971200079115846	-1.3328480714462636	Down	5.336068653865123	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000087263_OGFOD1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.13040815393498661	-1.3328480714462636	Down	5.33633357064353	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000124788_ATXN1	DT_vs_D_24h	PenDA	0.35999999999999976	0.3681026333558404	0.061335319207540095	0.4340310756589579	Up	5.336497831196221	1	0	1	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000196505_GDAP2	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.13939677810471096	-1.3328480714462636	Down	5.336506185278385	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000058056_USP13	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.28695328002945697	-1.3328480714462636	Down	5.336672201941866	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000117625_RCOR3	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	0.2633431893825824	1.3328480714462636	Up	5.338045427670909	2	0	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000232119_MCTS1	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.24996741674419543	-1.3328480714462636	Down	5.338142467435117	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000274523_RCC1L	DT_vs_D_24h	PenDA	0.35999999999999976	0.3681026333558404	0.006857341272720419	0.4340310756589579	Up	5.3381652789796465	1	0	1	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000181915_ADO	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.2996680514333967	-1.3328480714462636	Down	5.33859746101334	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000141582_CBX4	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.11985012866874634	-1.3328480714462636	Down	5.338630057215159	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000152484_USP12	DT_vs_D_24h	PenDA	0.04000000000000001	0.046467780429594284	-0.35894557249519465	-1.3328480714462636	Down	5.339174651859455	0	2	2	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
ENSG00000018699_TTC27	DT_vs_D_24h	PenDA	1	1	0.026365625512354995	-0	NS	5.339215485414691	0	0	0	PenDA native penda_test; threshold_lh=0.99; s_max=50; threshold_test=0.03; iterations=12; input=TMM logCPM from rounded RSEM expected counts
