gene_id	1_4_ctrl_RP1	2_4_Tam_RP1	3_4_ctrl_RP2	4_4_Tam_RP2	5_4D_RP1	6_4DT_RP1	7_4D_RP2	8_4DT_RP2	9_4D_L_CPT_RP1	10_4DT_L_CPT_RP1	11_4D_L_CPT_RP2	12_4DT_L_CPT_RP2	13_4D_H_CPT_RP1	14_4DT_H_CPT_RP1	15_4D_H_CPT_RP2	16_4DT_H_CPT_RP2	17_24_ctrl_RP1	18_24_Tam_RP1	19_24_ctrl_RP2	20_24_Tam_RP2	21_24D_RP1	22_24DT_RP1	23_24D_RP2	24_24DT_RP2	25_24D_L_CPT_RP1	26_24DT_L_CPT_RP1	27_24D_L_CPT_RP2	28_24DT_L_CPT_RP2	29_24D_H_CPT_RP1	30_24DT_H_CPT_RP1	31_24D_H_CPT_RP2	32_24DT_H_CPT_RP2
ENSG00000000003_TSPAN6	787.475370605235	723.311171095664	791.806141071219	716.802830921898	867.723755327133	783.27816655079	729.906825632687	784.9797720447	933.428198970197	977.412602797457	890.312142803373	959.559110835414	1074.14539826731	921.675684849749	1081.35636803837	1003.78486543001	809.700679597611	703.401883501138	748.699857563964	708.084496989606	622.379451963494	492.225230897705	652.485506953418	415.079228568227	1122.58509931235	747.736187543507	1226.97807915067	691.882382373733	551.036818844306	224.706710629189	470.241225904531	205.978217265493
ENSG00000000419_DPM1	909.009624419574	840.678644141375	874.452573304242	917.040143472906	786.005037353326	981.69796767908	827.886929073528	1006.40481975996	811.767894385318	1029.67030631336	694.270174619175	821.297514816026	586.410086193177	648.498613309231	665.770822995348	748.638712397069	677.277722010486	666.64939031385	639.43528444232	676.77777020463	610.255176925244	472.62334117169	638.491179726535	494.193546284886	751.248699005054	590.731213781091	826.445480591466	588.923694520499	408.25376597678	232.323887260687	383.700157722544	256.399968366942
ENSG00000000457_SCYL3	412.883492410356	380.307005683003	431.005587451786	384.891954864584	408.593589869034	288.028743573324	374.841313163584	282.976414769678	331.419450420879	257.41757657834	288.105875895009	231.617716408548	138.144683766662	150.841252546286	112.583375078545	107.098385223704	461.964058147451	511.472196856415	501.666909636768	504.590772887261	461.732807706683	441.042518835333	466.186025745539	498.528577392648	382.485068214902	394.474996578071	309.3222048279	394.331774477887	417.772636167948	464.647774521374	459.81459118381	476.324627426453
ENSG00000000460_C1orf112	354.613644691152	306.611150514766	332.363071560759	326.456941474212	289.241251775711	489.648864074651	299.333710511927	434.856411397471	120.6115088557	165.482727800362	139.720518761113	177.258456435113	162.108557481287	218.541657232415	182.079285620857	208.946849603109	281.019711520769	387.942983643588	292.639030621448	371.997577092069	485.981357783183	419.262641361983	450.442407615295	473.602148523016	375.624349502527	356.205034223482	385.463055247075	343.882017429802	232.683493561895	366.894007750484	269.00717579461	341.151422345973
ENSG00000000971_CFH	277.197989864211	190.153502841502	301.259575559083	230.623519514002	254.833370523582	188.818843009179	255.287608965127	171.864206710398	287.286126136985	289.352839838059	309.767971826964	288.340422467785	508.879906528214	394.325164136749	526.779001910724	425.243588388237	443.768537257617	291.978140321227	428.507151981406	302.938620948739	220.257663194873	168.794050418461	249.273953728853	136.553479894508	267.568029782622	154.061130504371	292.666393798705	192.532746285548	228.452884588042	168.847415331537	224.172646495508	165.211695098364
ENSG00000001036_FUCA2	3037.52391896248	3233.51937367797	3023.25981136284	3121.20884855774	2633.27816207701	3330.73238748819	3133.56551004378	3226.25087573565	3272.24267504159	3485.78237156083	3231.98471304777	3332.45898098013	3741.18357874205	3882.67759506937	4329.59522678603	4133.78767280121	2323.97236254046	2784.00135893701	2461.77833876679	2732.89309111203	2608.7398457301	2198.67863093466	2778.74859998795	2088.40123616442	3486.10269572551	2470.86577458602	3770.55836346625	2498.80735419799	1597.05488762937	1246.67790868849	1434.70493757125	1328.13038007646
ENSG00000001084_GCLC	3938.20927942216	3638.39166441706	3697.76133894202	3753.08612668563	3789.16792289073	3309.13023172019	3538.07052424908	3322.17508413215	1503.97307564412	1804.82624179926	1502.50463593637	1717.0435813348	1182.68764979826	1180.60003961424	1177.26072458676	1212.73171503312	2381.59151202493	2302.13533714814	2368.66591993269	2248.55961202681	2951.25061556066	2534.13230377919	2907.32148138493	2471.04359446882	1842.2487645453	1751.58673853696	1863.0714336942	1702.93669709249	1542.23677185068	1569.27803432682	1711.01075767037	1651.04414776872
ENSG00000001167_NFYA	920.663593963414	978.972100753377	845.126419931234	927.948012639109	829.014888918488	1016.90148078249	886.315431125405	1008.00355656656	1377.06879241334	1522.24754871327	1335.46821420506	1338.89220760656	338.313511265294	469.151927210891	277.983642169248	316.045234826813	859.232930908825	742.196181865497	829.460629001701	772.53952272338	748.67398361193	692.600103652522	729.454306701274	709.861343896053	937.345694078224	793.856398586217	1016.00447278087	793.811483348435	1067.17111365433	756.639545395461	937.354461392846	799.238395118711
ENSG00000001460_STPG1	207.274172601167	169.227519275212	194.619017839054	157.384969398069	198.920563488872	164.016367868143	222.927207828702	191.848416793002	194.027209898299	186.772903306841	198.208177777393	173.713287306411	93.036215597956	102.144470228194	104.243865813468	96.5985435351057	176.900897540052	172.532537462543	170.072683380647	227.434162232032	182.874481826936	194.92990338648	224.783881081808	221.08658649587	386.773017410136	291.440482546485	429.878551324928	315.053584830896	346.909935855916	203.124710173278	306.543060789207	225.288675134133
ENSG00000001461_NIPAL3	2705.38578696302	2718.55821287276	2606.47296494039	2809.55544380909	2687.04047653346	2296.229150154	2700.29569482831	2415.69131478522	2002.15104700461	1840.63244606016	1943.09000509641	1927.39028297113	3106.84574511962	3072.64819163183	3039.75112712072	3056.50391555101	3006.30439590923	2759.49969681216	2925.44017949168	2787.21946994478	2587.52236441316	2475.2830748462	2836.47519979884	2607.52121131894	2628.51285667864	2299.14158453338	2608.61726071529	2249.64732959317	2346.93032824475	2371.48099127302	2333.48085049743	2040.47171478629
