task_name,time_h,label_col,positive_label,negative_label,context_col,n_samples,n_positive,n_negative,context_values,task_order
MYC@4h,4,myc,MYC,None_MYC,cpt_level,12,6,6,HCPT;LCPT;None_CPT,0
MYC@24h,24,myc,MYC,None_MYC,cpt_level,12,6,6,HCPT;LCPT;None_CPT,1
