gene,baseline_value,baseline_band,baseline_source_matrix
AC002467.1,50.31107377364293,mid,size_factor_normalized_counts
AC002470.1,3.2533585143506185,tail,size_factor_normalized_counts
AC002550.2,3.7616258357692764,tail,size_factor_normalized_counts
AC002551.1,2.4535652200462748,tail,size_factor_normalized_counts
AC002553.1,7.3877883287054456,NA,size_factor_normalized_counts
AC002553.2,2.480657888612896,tail,size_factor_normalized_counts
AC002558.3,13.203082737368824,NA,size_factor_normalized_counts
AC003043.2,0,tail,size_factor_normalized_counts
AC003086.1,49.931776413710224,mid,size_factor_normalized_counts
AC003093.1,1.6537719257419308,tail,size_factor_normalized_counts
AC003101.2,4.988408445792414,NA,size_factor_normalized_counts
AC003102.1,45.37035728363661,mid,size_factor_normalized_counts
AC003991.1,6.669273040100966,NA,size_factor_normalized_counts
AC004000.1,2.826369198631825,tail,size_factor_normalized_counts
AC004069.1,3.0195331636344753,tail,size_factor_normalized_counts
AC004076.2,25.071012190448023,mid,size_factor_normalized_counts
AC004130.2,156.28144698261247,mid,size_factor_normalized_counts
AC004148.1,43.55402934649495,mid,size_factor_normalized_counts
AC004156.1,1.5995865886086875,tail,size_factor_normalized_counts
AC004223.2,1.2809679471563804,tail,size_factor_normalized_counts
AC004231.1,38.084446247850494,mid,size_factor_normalized_counts
AC004233.2,53.18513492806085,mid,size_factor_normalized_counts
AC004241.1,15.49409194601537,NA,size_factor_normalized_counts
AC004241.3,6.18809838724893,NA,size_factor_normalized_counts
AC004241.4,2.080761241460724,tail,size_factor_normalized_counts
AC004263.2,0.8268859628709654,tail,size_factor_normalized_counts
AC004264.1,1.707957262875174,tail,size_factor_normalized_counts
AC004449.1,1.253875278589759,tail,size_factor_normalized_counts
AC004461.2,22.271735660382824,mid,size_factor_normalized_counts
AC004466.1,9.149930928713863,NA,size_factor_normalized_counts
AC004466.2,4.93422310865917,NA,size_factor_normalized_counts
AC004477.1,47.34274785083085,mid,size_factor_normalized_counts
AC004477.3,2.480657888612896,tail,size_factor_normalized_counts
AC004490.1,0,tail,size_factor_normalized_counts
AC004492.1,8.295952297276276,NA,size_factor_normalized_counts
AC004494.1,4.588511798640242,NA,size_factor_normalized_counts
AC004540.1,20.299345093188585,NA,size_factor_normalized_counts
AC004584.3,7.84187031299086,NA,size_factor_normalized_counts
AC004585.1,0.4269893157187935,tail,size_factor_normalized_counts
AC004596.1,7.814777644424239,NA,size_factor_normalized_counts
AC004687.1,0,tail,size_factor_normalized_counts
AC004706.3,60.85219935686088,mid,size_factor_normalized_counts
AC004707.1,4.134429814354826,NA,size_factor_normalized_counts
AC004771.3,17.229141877457167,NA,size_factor_normalized_counts
AC004771.4,3.28045118291724,tail,size_factor_normalized_counts
AC004801.6,7.414880997272067,NA,size_factor_normalized_counts
AC004803.1,67.19505726833854,mid,size_factor_normalized_counts
AC004812.2,73.37610934698294,mid,size_factor_normalized_counts
AC004816.1,44.008111330780366,mid,size_factor_normalized_counts
AC004825.2,0.853978631437587,tail,size_factor_normalized_counts
AC004832.5,9.976816891584829,NA,size_factor_normalized_counts
AC004834.1,4.161522482921448,NA,size_factor_normalized_counts
AC004837.4,15.14838063599644,NA,size_factor_normalized_counts
AC004846.2,6.506717028701237,NA,size_factor_normalized_counts
AC004847.1,1.253875278589759,tail,size_factor_normalized_counts
AC004854.2,19.33699578748451,NA,size_factor_normalized_counts
AC004865.2,0.4269893157187935,tail,size_factor_normalized_counts
AC004870.2,62.41634386247458,mid,size_factor_normalized_counts
AC004877.1,3.2262658457839968,tail,size_factor_normalized_counts
AC004889.1,86.06407115853752,mid,size_factor_normalized_counts
AC004908.2,20.525649430519543,NA,size_factor_normalized_counts
AC004908.3,2.426472551479653,tail,size_factor_normalized_counts
AC004918.1,43.93332670642765,mid,size_factor_normalized_counts
AC004918.4,57.74006067678731,mid,size_factor_normalized_counts
AC004938.2,7.014984350119895,NA,size_factor_normalized_counts
AC004943.1,3.28045118291724,tail,size_factor_normalized_counts
AC004943.2,85.69812078434757,mid,size_factor_normalized_counts
AC004951.1,69.106216189795,mid,size_factor_normalized_counts
AC004982.1,5.015501114359036,NA,size_factor_normalized_counts
AC004982.2,7.042077018686516,NA,size_factor_normalized_counts
AC005005.3,12.37619677449786,NA,size_factor_normalized_counts
AC005005.4,2.534843225746139,tail,size_factor_normalized_counts
AC005034.3,79.74294998340369,mid,size_factor_normalized_counts
AC005034.5,12.830278758783274,NA,size_factor_normalized_counts
AC005037.1,4.93422310865917,NA,size_factor_normalized_counts
AC005041.3,8.75003428156169,NA,size_factor_normalized_counts
AC005041.5,1.5995865886086875,tail,size_factor_normalized_counts
AC005046.1,0.8268859628709654,tail,size_factor_normalized_counts
AC005052.2,4.507233792940378,NA,size_factor_normalized_counts
