x,time,contrast,delta_density,lo,hi
11.5068493150685,24 h,Dox-only,0.00285186632523589,0.00148955973798452,0.00419795708849693
11.5068493150685,24 h,Tam-only,0.0034212106692357,0.00226034815308699,0.00453808958437382
11.5068493150685,4 h,Dox-only,-0.000118431541819994,-0.000897786626963732,0.000653873947756794
11.5068493150685,4 h,Tam-only,-0.000140903025147063,-0.000875944819906523,0.000593822359975885
11.5479452054795,24 h,Dox-only,0.00271430912409996,0.0013669834955397,0.00402847748087962
11.5479452054795,24 h,Tam-only,0.00339791262959385,0.00227418861295359,0.00451785270377803
11.5479452054795,4 h,Dox-only,-0.000166825756555994,-0.000920447197321578,0.000596125449650158
11.5479452054795,4 h,Tam-only,-0.000168828623299977,-0.000901203124904206,0.000554846562700681
11.5890410958904,24 h,Dox-only,0.00257123820464456,0.00123967609784438,0.00385962916328534
11.5890410958904,24 h,Tam-only,0.00335371565532928,0.00224985033136082,0.00447047633796427
11.5890410958904,4 h,Dox-only,-0.000212661016253932,-0.000955367688460084,0.00054993698698698
11.5890410958904,4 h,Tam-only,-0.000199932349468329,-0.000920031376000012,0.000505970068109271
11.6301369863014,24 h,Dox-only,0.00242466355000452,0.0011033695103498,0.00371327462168704
11.6301369863014,24 h,Tam-only,0.00329163011651668,0.00221161068953361,0.00439339463333
11.6301369863014,4 h,Dox-only,-0.00025585823651357,-0.000986373620358837,0.000499509244319025
11.6301369863014,4 h,Tam-only,-0.000234716372236654,-0.000943006514042807,0.000461272515658745
11.6712328767123,24 h,Dox-only,0.00227656310803737,0.00099235779156027,0.00356130352105553
11.6712328767123,24 h,Tam-only,0.00321708593358135,0.00215880407812515,0.00430998351950476
11.6712328767123,4 h,Dox-only,-0.000295475505276338,-0.00101878761984212,0.000450893758353745
11.6712328767123,4 h,Tam-only,-0.000274117043770145,-0.000975461831688796,0.000408421280720929
11.7123287671233,24 h,Dox-only,0.00212879803549022,0.000863872074446011,0.00339901936846284
11.7123287671233,24 h,Tam-only,0.00312836858557616,0.00208369976261577,0.00421317731946258
11.7123287671233,4 h,Dox-only,-0.000332298368440093,-0.00103765745292719,0.000399975201689009
11.7123287671233,4 h,Tam-only,-0.000317633689073726,-0.00102014962285437,0.000361611880465672
11.7534246575342,24 h,Dox-only,0.00198290639823885,0.000733712522112276,0.00324330421703724
11.7534246575342,24 h,Tam-only,0.00303255477636363,0.00199981331186119,0.00408423930597979
11.7534246575342,4 h,Dox-only,-0.00036599886431922,-0.00106181220237899,0.000358623911282687
11.7534246575342,4 h,Tam-only,-0.000364841354590167,-0.00105849376271167,0.00030366604785007
11.7945205479452,24 h,Dox-only,0.00183990058513456,0.000600450868158277,0.00306935443496
11.7945205479452,24 h,Tam-only,0.00293245048879369,0.00190889953106029,0.00397825123956732
11.7945205479452,4 h,Dox-only,-0.000396390110141948,-0.00108023475439953,0.000315137972916694
11.7945205479452,4 h,Tam-only,-0.000415267091706001,-0.00108843596390272,0.000240018396328201
11.8356164383562,24 h,Dox-only,0.00170060859015046,0.000476835859631379,0.00291043832691197
11.8356164383562,24 h,Tam-only,0.00283064317635286,0.00181324350612374,0.00384810609392107
11.8356164383562,4 h,Dox-only,-0.000423273249944636,-0.00110045019473261,0.000283101454964018
11.8356164383562,4 h,Tam-only,-0.000468265078525959,-0.00112732685297236,0.000186495012806576
11.8767123287671,24 h,Dox-only,0.00156569786836333,0.000378582287079811,0.00275173217263798
11.8767123287671,24 h,Tam-only,0.00272947214170412,0.00172155774912075,0.00373253701541081
11.8767123287671,4 h,Dox-only,-0.000446443266883298,-0.00112333101335287,0.000248793073933324
11.8767123287671,4 h,Tam-only,-0.000523034697168606,-0.00118002278143052,0.000117525293464302
11.9178082191781,24 h,Dox-only,0.00143570218722845,0.000268721640204754,0.00260835623980633
11.9178082191781,24 h,Tam-only,0.00263100551730183,0.0016470887025201,0.00362642962387781
11.9178082191781,4 h,Dox-only,-0.000465080836505261,-0.00112229280293911,0.000217555000235015
11.9178082191781,4 h,Tam-only,-0.000578244618320692,-0.00123077494338091,5.62620172470839e-05
11.958904109589,24 h,Dox-only,0.00131148404954685,0.000153805163061419,0.00245705635912993
11.958904109589,24 h,Tam-only,0.00254370637365081,0.00158693687169412,0.00352635778052103
11.958904109589,4 h,Dox-only,-0.00047926695676212,-0.0011187930954383,0.00019800437839019
11.958904109589,4 h,Tam-only,-0.000633180531277089,-0.00127055401506778,-1.2822896374221e-05
12,24 h,Dox-only,0.0011937948559798,4.50104709156442e-05,0.00232785921876719
12,24 h,Tam-only,0.00245764747915119,0.00151886374562044,0.00343232340132423
12,4 h,Dox-only,-0.000489115153202782,-0.00112807783705589,0.000177775098715423
12,4 h,Tam-only,-0.000686217438521819,-0.00131432226371017,-7.57006339173731e-05
12.041095890411,24 h,Dox-only,0.00108231271737774,-5.27324803162064e-05,0.00220732064131273
12.041095890411,24 h,Tam-only,0.00237892449868534,0.00144632115883788,0.00333505216778332
12.041095890411,4 h,Dox-only,-0.000494525249012771,-0.00112553815781666,0.000159595460116707
12.041095890411,4 h,Tam-only,-0.000736239092296601,-0.00135578376264014,-0.000131524959277799
12.0821917808219,24 h,Dox-only,0.000977404971626357,-0.000133047265324621,0.00208208469113495
12.0821917808219,24 h,Tam-only,0.00230820605978026,0.00138870001584229,0.00324751920424263
12.0821917808219,4 h,Dox-only,-0.000495448344404813,-0.00110795732287551,0.000144325165041292
12.0821917808219,4 h,Tam-only,-0.000782178158120046,-0.00138459409212999,-0.000188521884851827
12.1232876712329,24 h,Dox-only,0.000879483285259497,-0.000201397530335187,0.00197763996082431
