x,time,contrast,delta_density,lo,hi,view
0,24 h,Dox-only,-0.0249258214707703,-0.0261483542754236,-0.0204202689396826,Full distribution
0,24 h,Tam-only,-0.00132549685485195,-0.00201251340753993,0.0049693590211662,Full distribution
0,4 h,Dox-only,0.00663649784966303,0.00164055111309188,0.0117980088808635,Full distribution
0,4 h,Tam-only,0.0121680862228477,0.00750078620053969,0.0180746327228841,Full distribution
0.0332681017612524,24 h,Dox-only,-0.0239220110565522,-0.0253615263759263,-0.0193623833268115,Full distribution
0.0332681017612524,24 h,Tam-only,-9.79728533820889e-05,-0.00186495754430156,0.00468363018618084,Full distribution
0.0332681017612524,4 h,Dox-only,0.00638549988716941,0.00122720394584341,0.0102810986824243,Full distribution
0.0332681017612524,4 h,Tam-only,0.01241034551487,0.00703194155895764,0.0170716778375014,Full distribution
0.0665362035225049,24 h,Dox-only,-0.0214669043842927,-0.0232156262043029,-0.0175091696096057,Full distribution
0.0665362035225049,24 h,Tam-only,0.00169944251708909,-0.00100800098200139,0.00423174623087574,Full distribution
0.0665362035225049,4 h,Dox-only,0.00583389653431643,0.000995330249365992,0.00786649462353993,Full distribution
0.0665362035225049,4 h,Tam-only,0.0113462146206454,0.00685046258360055,0.0162479157313569,Full distribution
0.0998043052837573,24 h,Dox-only,-0.0182628476530102,-0.0200131140856941,-0.0156553709783395,Full distribution
0.0998043052837573,24 h,Tam-only,0.00171092009457297,6.15203285208366e-05,0.00425760566161875,Full distribution
0.0998043052837573,4 h,Dox-only,0.00397168995591424,0.000415622843307884,0.00696285188164241,Full distribution
0.0998043052837573,4 h,Tam-only,0.008887575647061,0.00623459608847063,0.014739767627838,Full distribution
0.13307240704501,24 h,Dox-only,-0.0146660390506319,-0.0166699605572708,-0.0126987072321736,Full distribution
0.13307240704501,24 h,Tam-only,0.00194324964347359,0.000188914089999429,0.00436904311327257,Full distribution
0.13307240704501,4 h,Dox-only,0.00269976789076265,-0.000367884860708814,0.00577709279788244,Full distribution
0.13307240704501,4 h,Tam-only,0.00757836384554023,0.00541572206170653,0.0126095814708906,Full distribution
0.166340508806262,24 h,Dox-only,-0.0115577631215099,-0.0133582981029644,-0.00968750324264331,Full distribution
0.166340508806262,24 h,Tam-only,0.00238446529051239,0.000834063287480547,0.00457856616686215,Full distribution
0.166340508806262,4 h,Dox-only,0.00178533806878745,-0.000852857939509685,0.00445481407997638,Full distribution
0.166340508806262,4 h,Tam-only,0.00644594245401631,0.00436270175746687,0.0105318257648762,Full distribution
0.199608610567515,24 h,Dox-only,-0.00859024151031152,-0.0105048570352597,-0.00636746712001772,Full distribution
0.199608610567515,24 h,Tam-only,0.00299080345351066,0.0011842108962598,0.00499441147696431,Full distribution
0.199608610567515,4 h,Dox-only,0.000789298337501521,-0.001441081532628,0.00295217588793855,Full distribution
0.199608610567515,4 h,Tam-only,0.00506776063869341,0.00309704157870521,0.00803822775869099,Full distribution
0.232876712328767,24 h,Dox-only,-0.00530225975462517,-0.00726239450880369,-0.00338908840999088,Full distribution
0.232876712328767,24 h,Tam-only,0.00369203805869511,0.00163357922152742,0.00564162405464722,Full distribution
0.232876712328767,4 h,Dox-only,-0.000243030922330578,-0.0020467078741857,0.0011981538614202,Full distribution
0.232876712328767,4 h,Tam-only,0.00352046860593513,0.00184427102508203,0.00547452354648384,Full distribution
0.26614481409002,24 h,Dox-only,-0.00192520952726638,-0.00394053752498785,3.67863355285762e-06,Full distribution
0.26614481409002,24 h,Tam-only,0.00440168585883538,0.00212733979712588,0.00615868500258692,Full distribution
0.26614481409002,4 h,Dox-only,-0.00126054976515044,-0.00295691011724314,0.000158475650192877,Full distribution
0.26614481409002,4 h,Tam-only,0.00189711743358567,0.000338971460104462,0.0037701569443366,Full distribution
0.299412915851272,24 h,Dox-only,0.00130229636807544,-0.000824629004506341,0.00336961418432167,Full distribution
0.299412915851272,24 h,Tam-only,0.00503008364505297,0.00250270901900548,0.00659215093844178,Full distribution
0.299412915851272,4 h,Dox-only,-0.00221152793617152,-0.00412717192660802,-0.000608615353985584,Full distribution
0.299412915851272,4 h,Tam-only,0.000296360308600585,-0.00153503791418008,0.00252632210215366,Full distribution
0.332681017612524,24 h,Dox-only,0.00416438295075755,0.00162322777800029,0.00599221406274383,Full distribution
0.332681017612524,24 h,Tam-only,0.00549772374076413,0.00263412616072476,0.00713263697287984,Full distribution
0.332681017612524,4 h,Dox-only,-0.00304912014385439,-0.00498723009311369,-0.000837168833400387,Full distribution
0.332681017612524,4 h,Tam-only,-0.0011891367200586,-0.0030808485650118,0.001513662643891,Full distribution
0.365949119373777,24 h,Dox-only,0.00582666708465041,0.00337985099633833,0.00765617562442006,Full distribution
0.365949119373777,24 h,Tam-only,0.00507940380473904,0.0024467853487076,0.00685461562706975,Full distribution
0.365949119373777,4 h,Dox-only,-0.00373620973759842,-0.00572923668938763,-0.00122981771400338,Full distribution
0.365949119373777,4 h,Tam-only,-0.00248292762118346,-0.00433153836078176,0.000643578976499631,Full distribution
0.399217221135029,24 h,Dox-only,0.00665379456776205,0.00403823212615691,0.00871982711908894,Full distribution
0.399217221135029,24 h,Tam-only,0.0043975318522616,0.00191402875080829,0.0064390115048544,Full distribution
0.399217221135029,4 h,Dox-only,-0.00424871999387333,-0.00582935301151022,-0.00124019724285676,Full distribution
0.399217221135029,4 h,Tam-only,-0.00306149986942084,-0.0054835756629349,-0.000123727351399586,Full distribution
0.432485322896282,24 h,Dox-only,0.00682364298160099,0.00410555157200388,0.00891634829420385,Full distribution
0.432485322896282,24 h,Tam-only,0.00408786685632512,0.00150982824905943,0.00605839225665545,Full distribution
0.432485322896282,4 h,Dox-only,-0.00390180365698045,-0.00617978354073439,-0.00116102787177071,Full distribution
0.432485322896282,4 h,Tam-only,-0.00302850450475212,-0.00596400764167205,-0.000665255996278333,Full distribution
0.465753424657534,24 h,Dox-only,0.00652052628645078,0.00439146676270896,0.00888397510545333,Full distribution
0.465753424657534,24 h,Tam-only,0.00367812702485459,0.00117445157519373,0.00548865884878476,Full distribution
0.465753424657534,4 h,Dox-only,-0.00404345251424498,-0.00621145223942415,-0.0011882672581551,Full distribution
0.465753424657534,4 h,Tam-only,-0.00353736403574706,-0.00647554162141824,-0.000834344871882292,Full distribution
0.499021526418787,24 h,Dox-only,0.00654251182264179,0.00430696439932202,0.00872432531652753,Full distribution
