gene_id	pfp	rankprod_table_direction	contrast_id	common_effect	direction_from_effect	called_by_rankprod_table	table_effect_direction_agree
ENSG00000072657_TRHDE	0.5348	Down	DT_vs_D_4h	-0.004014360713531895	Down	FALSE	TRUE
ENSG00000072682_P4HA2	0.5344	Down	DT_vs_D_4h	-0.18601731530681498	Down	FALSE	TRUE
ENSG00000072736_NFATC3	0.535	Down	DT_vs_D_4h	0.17348240238126156	Up	FALSE	FALSE
ENSG00000072756_TRNT1	0.5371	Down	DT_vs_D_4h	0.36567285088226953	Up	FALSE	FALSE
ENSG00000072778_ACADVL	0.5367	Down	DT_vs_D_4h	-0.1044812975174203	Down	FALSE	TRUE
ENSG00000072786_STK10	0.5363	Down	DT_vs_D_4h	0.3043186485478433	Up	FALSE	FALSE
ENSG00000072803_FBXW11	0.5361	Down	DT_vs_D_4h	-0.029453581958989616	Down	FALSE	TRUE
ENSG00000072840_EVC	0.5361	Down	DT_vs_D_4h	0.15784372069746144	Up	FALSE	FALSE
ENSG00000072849_DERL2	0.5374	Down	DT_vs_D_4h	0.2422868877288682	Up	FALSE	FALSE
ENSG00000072864_NDE1	0.5369	Down	DT_vs_D_4h	0.10088392596516549	Up	FALSE	FALSE
ENSG00000072954_TMEM38A	0.5388	Down	DT_vs_D_4h	-0.04805768406667266	Down	FALSE	TRUE
ENSG00000072958_AP1M1	0.5384	Down	DT_vs_D_4h	0.046914352243667246	Up	FALSE	FALSE
ENSG00000073008_PVR	0.5395	Down	DT_vs_D_4h	0.5431865822920283	Up	FALSE	FALSE
ENSG00000073050_XRCC1	0.5401	Down	DT_vs_D_4h	-0.06669892704965896	Down	FALSE	TRUE
ENSG00000073060_SCARB1	0.5396	Up	DT_vs_D_4h	-0.09180077180244517	Down	FALSE	FALSE
ENSG00000073111_MCM2	0.54	Up	DT_vs_D_4h	0.9201629749785099	Up	FALSE	TRUE
ENSG00000073169_SELENOO	0.5397	Up	DT_vs_D_4h	-0.11675309483545604	Down	FALSE	FALSE
ENSG00000073331_ALPK1	0.5399	Up	DT_vs_D_4h	-0.47781425216188556	Down	FALSE	FALSE
ENSG00000073350_LLGL2	0.5395	Up	DT_vs_D_4h	-0.4193343457241969	Down	FALSE	FALSE
ENSG00000073417_PDE8A	0.541	Up	DT_vs_D_4h	0.11075702297998191	Up	FALSE	TRUE
ENSG00000073464_CLCN4	0.5409	Up	DT_vs_D_4h	-0.5672530675196366	Down	FALSE	FALSE
ENSG00000073536_NLE1	0.5429	Up	DT_vs_D_4h	-0.019181032641195195	Down	FALSE	FALSE
ENSG00000073578_SDHA	0.5431	Up	DT_vs_D_4h	-0.09097461853757327	Down	FALSE	FALSE
ENSG00000073584_SMARCE1	0.5435	Up	DT_vs_D_4h	0.10652190841163378	Up	FALSE	TRUE
ENSG00000073605_GSDMB	0.5431	Up	DT_vs_D_4h	0.11544369038567592	Up	FALSE	TRUE
ENSG00000073614_KDM5A	0.5431	Up	DT_vs_D_4h	-0.14460649851211294	Down	FALSE	FALSE
ENSG00000073711_PPP2R3A	0.5434	Up	DT_vs_D_4h	-0.18252330072922796	Down	FALSE	FALSE
ENSG00000073712_FERMT2	0.5438	Up	DT_vs_D_4h	-0.4157267862368501	Down	FALSE	FALSE
ENSG00000073737_DHRS9	0.5446	Up	DT_vs_D_4h	2.321535903895116	Up	FALSE	TRUE
ENSG00000073756_PTGS2	0.5448	Up	DT_vs_D_4h	-0.3940069635522895	Down	FALSE	FALSE
ENSG00000073792_IGF2BP2	0.5446	Up	DT_vs_D_4h	0.6143678692803851	Up	FALSE	TRUE
ENSG00000073803_MAP3K13	0.545	Down	DT_vs_D_4h	-0.1430174216624227	Down	FALSE	TRUE
ENSG00000073849_ST6GAL1	0.545	Down	DT_vs_D_4h	0.20154707146998074	Up	FALSE	FALSE
ENSG00000073910_FRY	0.5469	Down	DT_vs_D_4h	-0.12001941050055898	Down	FALSE	TRUE
ENSG00000073921_PICALM	0.5463	Down	DT_vs_D_4h	0.23766306147918304	Up	FALSE	FALSE
ENSG00000073969_NSF	0.546	Up	DT_vs_D_4h	-0.18473899302317776	Down	FALSE	FALSE
ENSG00000074054_CLASP1	0.5461	Up	DT_vs_D_4h	-0.17700479265208813	Down	FALSE	FALSE
ENSG00000074071_MRPS34	0.5458	Up	DT_vs_D_4h	-0.06664361389483808	Down	FALSE	FALSE
ENSG00000074181_NOTCH3	0.5454	Up	DT_vs_D_4h	-0.32641004472437984	Down	FALSE	FALSE
ENSG00000074201_CLNS1A	0.545	Up	DT_vs_D_4h	0.029562489966108885	Up	FALSE	TRUE
ENSG00000074211_PPP2R2C	0.5456	Up	DT_vs_D_4h	0.6580042784133147	Up	FALSE	TRUE
ENSG00000074219_TEAD2	0.5451	Up	DT_vs_D_4h	-0.7789548501457544	Down	FALSE	FALSE
ENSG00000074266_EED	0.5463	Up	DT_vs_D_4h	0.2598370330916042	Up	FALSE	TRUE
ENSG00000074319_TSG101	0.5473	Up	DT_vs_D_4h	0.08178757698360695	Up	FALSE	TRUE
ENSG00000074356_NCBP3	0.5468	Up	DT_vs_D_4h	-0.10881435270247497	Down	FALSE	FALSE
ENSG00000074410_CA12	0.5462	Up	DT_vs_D_4h	0.11616464996371967	Up	FALSE	TRUE
ENSG00000074416_MGLL	0.5509	Up	DT_vs_D_4h	1.2980804761730065	Up	FALSE	TRUE
ENSG00000074527_NTN4	0.5526	Down	DT_vs_D_4h	-0.31243990974994595	Down	FALSE	TRUE
ENSG00000074582_BCS1L	0.5531	Down	DT_vs_D_4h	0.20182907793077565	Up	FALSE	FALSE
ENSG00000074590_NUAK1	0.5535	Down	DT_vs_D_4h	-0.16310706569892242	Down	FALSE	TRUE
ENSG00000074603_DPP8	0.5531	Down	DT_vs_D_4h	-0.10186420373057103	Down	FALSE	TRUE
ENSG00000074621_SLC24A1	0.5528	Down	DT_vs_D_4h	-0.5184757862092835	Down	FALSE	TRUE
ENSG00000074657_ZNF532	0.5523	Down	DT_vs_D_4h	-0.17530504024205573	Down	FALSE	TRUE
ENSG00000074695_LMAN1	0.5532	Down	DT_vs_D_4h	0.2127643990137953	Up	FALSE	FALSE
ENSG00000074696_HACD3	0.5551	Down	DT_vs_D_4h	0.5496328674490467	Up	FALSE	FALSE
ENSG00000074755_ZZEF1	0.5551	Down	DT_vs_D_4h	-0.37261299280913285	Down	FALSE	TRUE
ENSG00000074800_ENO1	0.5566	Down	DT_vs_D_4h	0.05622380401086069	Up	FALSE	FALSE
ENSG00000074842_MYDGF	0.5561	Down	DT_vs_D_4h	0.06446400728547541	Up	FALSE	FALSE
ENSG00000074855_ANO8	0.5564	Down	DT_vs_D_4h	-0.7685948950048926	Down	FALSE	TRUE
ENSG00000074935_TUBE1	0.5566	Down	DT_vs_D_4h	0.45965472000117646	Up	FALSE	FALSE
ENSG00000074964_ARHGEF10L	0.5564	Down	DT_vs_D_4h	-0.41104240593631136	Down	FALSE	TRUE
ENSG00000075089_ACTR6	0.5561	Down	DT_vs_D_4h	-0.14355639811553278	Down	FALSE	TRUE
ENSG00000075131_TIPIN	0.556	Down	DT_vs_D_4h	1.2352180477508892	Up	FALSE	FALSE
ENSG00000075142_SRI	0.5562	Down	DT_vs_D_4h	-0.02236815409398396	Down	FALSE	TRUE
ENSG00000075151_EIF4G3	0.5568	Down	DT_vs_D_4h	0.29583833518249847	Up	FALSE	FALSE
ENSG00000075188_NUP37	0.5563	Down	DT_vs_D_4h	0.2429193257869544	Up	FALSE	FALSE
ENSG00000075213_SEMA3A	0.5563	Down	DT_vs_D_4h	0.8192682529873023	Up	FALSE	FALSE
ENSG00000075218_GTSE1	0.5557	Down	DT_vs_D_4h	0.29257186201071494	Up	FALSE	FALSE
ENSG00000075223_SEMA3C	0.5556	Down	DT_vs_D_4h	-0.3046521501210808	Down	FALSE	TRUE
ENSG00000075234_TTC38	0.5567	Down	DT_vs_D_4h	-0.21936028033051524	Down	FALSE	TRUE
ENSG00000075239_ACAT1	0.5563	Down	DT_vs_D_4h	0.05769914864613668	Up	FALSE	FALSE
ENSG00000075240_GRAMD4	0.5582	Down	DT_vs_D_4h	-0.16531934990016328	Down	FALSE	TRUE
ENSG00000075275_CELSR1	0.5584	Down	DT_vs_D_4h	-0.373544057589573	Down	FALSE	TRUE
ENSG00000075292_ZNF638	0.5581	Down	DT_vs_D_4h	0.13578290888376632	Up	FALSE	FALSE
ENSG00000075303_SLC25A40	0.5581	Down	DT_vs_D_4h	0.12214122459717203	Up	FALSE	FALSE
ENSG00000075336_TIMM21	0.5579	Down	DT_vs_D_4h	0.4040998490790759	Up	FALSE	FALSE
ENSG00000075391_RASAL2	0.5581	Down	DT_vs_D_4h	0.29487046788668625	Up	FALSE	FALSE
ENSG00000075399_VPS9D1	0.5578	Down	DT_vs_D_4h	-0.7979616841416024	Down	FALSE	TRUE
ENSG00000075407_ZNF37A	0.5573	Down	DT_vs_D_4h	0.6983711922532168	Up	FALSE	FALSE
ENSG00000075413_MARK3	0.5579	Down	DT_vs_D_4h	0.04491484526913503	Up	FALSE	FALSE
ENSG00000075415_SLC25A3	0.5574	Down	DT_vs_D_4h	-0.23628475024458773	Down	FALSE	TRUE
ENSG00000075420_FNDC3B	0.5569	Down	DT_vs_D_4h	0.10599907738315562	Up	FALSE	FALSE
ENSG00000075426_FOSL2	0.5566	Down	DT_vs_D_4h	-0.4764631390825471	Down	FALSE	TRUE
ENSG00000075539_FRYL	0.5564	Down	DT_vs_D_4h	0.042448377809109594	Up	FALSE	FALSE
ENSG00000075568_TMEM131	0.5565	Down	DT_vs_D_4h	0.021712858155154002	Up	FALSE	FALSE
ENSG00000075618_FSCN1	0.559	Down	DT_vs_D_4h	0.4087959276307185	Up	FALSE	FALSE
ENSG00000075624_ACTB	0.5593	Down	DT_vs_D_4h	-0.12332126157148338	Down	FALSE	TRUE
ENSG00000075643_MOCOS	0.5589	Down	DT_vs_D_4h	0.13507339693382114	Up	FALSE	FALSE
ENSG00000075651_PLD1	0.559	Down	DT_vs_D_4h	-0.08217159544483099	Down	FALSE	TRUE
ENSG00000075702_WDR62	0.5585	Down	DT_vs_D_4h	0.48348305729367347	Up	FALSE	FALSE
ENSG00000075711_DLG1	0.5605	Down	DT_vs_D_4h	0.21316133389373704	Up	FALSE	FALSE
ENSG00000075785_RAB7A	0.5619	Down	DT_vs_D_4h	0.11282605115640543	Up	FALSE	FALSE
ENSG00000075790_BCAP29	0.5625	Down	DT_vs_D_4h	0.3915465787203134	Up	FALSE	FALSE
ENSG00000075826_SEC31B	0.5628	Down	DT_vs_D_4h	-0.5639652859526469	Down	FALSE	TRUE
ENSG00000075856_SART3	0.5642	Down	DT_vs_D_4h	0.24437947154309647	Up	FALSE	FALSE
ENSG00000075914_EXOSC7	0.5648	Down	DT_vs_D_4h	0.4023333140002796	Up	FALSE	FALSE
ENSG00000075945_KIFAP3	0.5648	Down	DT_vs_D_4h	-0.25317951885747547	Down	FALSE	TRUE
ENSG00000075975_MKRN2	0.566	Down	DT_vs_D_4h	0.2511129249239268	Up	FALSE	FALSE
ENSG00000076003_MCM6	0.5657	Down	DT_vs_D_4h	1.154321299673387	Up	FALSE	FALSE
ENSG00000076043_REXO2	0.5655	Down	DT_vs_D_4h	0.06323532266821719	Up	FALSE	FALSE
ENSG00000076053_RBM7	0.5657	Down	DT_vs_D_4h	0.06099741834707828	Up	FALSE	FALSE
ENSG00000076067_RBMS2	0.5652	Down	DT_vs_D_4h	-0.35313604725891423	Down	FALSE	TRUE
ENSG00000076108_BAZ2A	0.565	Down	DT_vs_D_4h	-0.14326544612950798	Down	FALSE	TRUE
ENSG00000076201_PTPN23	0.5647	Down	DT_vs_D_4h	-0.14098796791973456	Down	FALSE	TRUE
ENSG00000076242_MLH1	0.5645	Down	DT_vs_D_4h	0.07200406975610907	Up	FALSE	FALSE
ENSG00000076248_UNG	0.5648	Down	DT_vs_D_4h	0.7117115695613236	Up	FALSE	FALSE
ENSG00000076321_KLHL20	0.5644	Down	DT_vs_D_4h	-0.1005014410197882	Down	FALSE	TRUE
ENSG00000076351_SLC46A1	0.5641	Down	DT_vs_D_4h	0.5546031684844532	Up	FALSE	FALSE
ENSG00000076356_PLXNA2	0.5639	Down	DT_vs_D_4h	0.48987742066664364	Up	FALSE	FALSE
ENSG00000076382_SPAG5	0.5637	Down	DT_vs_D_4h	0.31909326103207114	Up	FALSE	FALSE
ENSG00000076513_ANKRD13A	0.5633	Down	DT_vs_D_4h	-0.22195688702017602	Down	FALSE	TRUE
ENSG00000076554_TPD52	0.563	Down	DT_vs_D_4h	0.25256289214248184	Up	FALSE	FALSE
ENSG00000076555_ACACB	0.5629	Down	DT_vs_D_4h	-1.4676487487354146	Down	FALSE	TRUE
ENSG00000076604_TRAF4	0.5632	Down	DT_vs_D_4h	-0.44549235573224344	Down	FALSE	TRUE
ENSG00000076650_GPATCH1	0.5627	Down	DT_vs_D_4h	0.244891488823904	Up	FALSE	FALSE
ENSG00000076662_ICAM3	0.5623	Down	DT_vs_D_4h	0.3182483281332784	Up	FALSE	FALSE
ENSG00000076685_NT5C2	0.5627	Down	DT_vs_D_4h	-0.015959171707815578	Down	FALSE	TRUE
ENSG00000076706_MCAM	0.5622	Down	DT_vs_D_4h	-0.1175105637254954	Down	FALSE	TRUE
ENSG00000076770_MBNL3	0.5628	Down	DT_vs_D_4h	-0.13582737777496767	Down	FALSE	TRUE
ENSG00000076826_CAMSAP3	0.5624	Down	DT_vs_D_4h	-0.69935279825813	Down	FALSE	TRUE
ENSG00000076864_RAP1GAP	0.5619	Down	DT_vs_D_4h	-0.25116662487943864	Down	FALSE	TRUE
ENSG00000076924_XAB2	0.5614	Down	DT_vs_D_4h	-0.10085641498840214	Down	FALSE	TRUE
ENSG00000076928_ARHGEF1	0.5629	Down	DT_vs_D_4h	0.058688294649077655	Up	FALSE	FALSE
ENSG00000076944_STXBP2	0.5635	Down	DT_vs_D_4h	-0.2960834705777753	Down	FALSE	TRUE
ENSG00000076984_MAP2K7	0.5632	Down	DT_vs_D_4h	-0.17659552056045325	Down	FALSE	TRUE
ENSG00000077044_DGKD	0.5628	Down	DT_vs_D_4h	0.34091119347924703	Up	FALSE	FALSE
ENSG00000077097_TOP2B	0.5623	Down	DT_vs_D_4h	0.24890570351716335	Up	FALSE	FALSE
ENSG00000077147_TM9SF3	0.5618	Down	DT_vs_D_4h	-0.04849184961823916	Down	FALSE	TRUE
ENSG00000077150_NFKB2	0.5615	Down	DT_vs_D_4h	-0.22935529513869746	Down	FALSE	TRUE
ENSG00000077152_UBE2T	0.561	Down	DT_vs_D_4h	0.8289269805355017	Up	FALSE	FALSE
ENSG00000077157_PPP1R12B	0.5609	Down	DT_vs_D_4h	-0.02581177971215798	Down	FALSE	TRUE
ENSG00000077232_DNAJC10	0.5606	Down	DT_vs_D_4h	0.1656864417052608	Up	FALSE	FALSE
ENSG00000077235_GTF3C1	0.5602	Down	DT_vs_D_4h	-0.0922146430693207	Down	FALSE	TRUE
ENSG00000077238_IL4R	0.5601	Down	DT_vs_D_4h	0.5228312015406527	Up	FALSE	FALSE
ENSG00000077254_USP33	0.5609	Down	DT_vs_D_4h	-0.08255989028986122	Down	FALSE	TRUE
ENSG00000077312_SNRPA	0.5611	Down	DT_vs_D_4h	-0.20841389766463614	Down	FALSE	TRUE
ENSG00000077348_EXOSC5	0.5611	Down	DT_vs_D_4h	0.051586063202086585	Up	FALSE	FALSE
ENSG00000077380_DYNC1I2	0.5611	Down	DT_vs_D_4h	0.05587023722392814	Up	FALSE	FALSE
ENSG00000077454_LRCH4	0.5613	Down	DT_vs_D_4h	-0.6555596968724782	Down	FALSE	TRUE
ENSG00000077458_FAM76B	0.5607	Down	DT_vs_D_4h	-0.006797653982883567	Down	FALSE	TRUE
ENSG00000077463_SIRT6	0.5614	Down	DT_vs_D_4h	-0.322184889234129	Down	FALSE	TRUE
ENSG00000077514_POLD3	0.5625	Down	DT_vs_D_4h	0.6739634730825728	Up	FALSE	FALSE
ENSG00000077549_CAPZB	0.5646	Down	DT_vs_D_4h	-0.19455024858256298	Down	FALSE	TRUE
ENSG00000077684_JADE1	0.5647	Down	DT_vs_D_4h	0.2683380418326271	Up	FALSE	FALSE
ENSG00000077713_SLC25A43	0.5666	Down	DT_vs_D_4h	0.07070633136192761	Up	FALSE	FALSE
ENSG00000077721_UBE2A	0.5668	Down	DT_vs_D_4h	-0.09385079975787747	Down	FALSE	TRUE
ENSG00000077782_FGFR1	0.5663	Down	DT_vs_D_4h	0.2404930915109027	Up	FALSE	FALSE
ENSG00000077942_FBLN1	0.566	Down	DT_vs_D_4h	-0.4722499506700588	Down	FALSE	TRUE
ENSG00000078018_MAP2	0.5655	Down	DT_vs_D_4h	0.025301603891037416	Up	FALSE	FALSE
ENSG00000078043_PIAS2	0.5652	Down	DT_vs_D_4h	0.23958020707178562	Up	FALSE	FALSE
ENSG00000078061_ARAF	0.5652	Down	DT_vs_D_4h	-0.3667263230568132	Down	FALSE	TRUE
ENSG00000078070_MCCC1	0.5655	Down	DT_vs_D_4h	-0.02620881405333808	Down	FALSE	TRUE
ENSG00000078098_FAP	0.5658	Down	DT_vs_D_4h	0.4550288304855773	Up	FALSE	FALSE
ENSG00000078114_NEBL	0.5678	Down	DT_vs_D_4h	-0.1845697239983366	Down	FALSE	TRUE
ENSG00000078124_ACER3	0.5683	Down	DT_vs_D_4h	0.3380029472670021	Up	FALSE	FALSE
ENSG00000078140_UBE2K	0.5684	Down	DT_vs_D_4h	0.26533625483347034	Up	FALSE	FALSE
ENSG00000078142_PIK3C3	0.5678	Down	DT_vs_D_4h	0.016245555189827954	Up	FALSE	FALSE
ENSG00000078177_N4BP2	0.568	Down	DT_vs_D_4h	0.08977586266577298	Up	FALSE	FALSE
ENSG00000078237_TIGAR	0.5686	Down	DT_vs_D_4h	0.0905320728421124	Up	FALSE	FALSE
ENSG00000078246_TULP3	0.5705	Down	DT_vs_D_4h	0.11335731476665867	Up	FALSE	FALSE
ENSG00000078269_SYNJ2	0.5701	Down	DT_vs_D_4h	0.16801131718808815	Up	FALSE	FALSE
ENSG00000078304_PPP2R5C	0.5711	Down	DT_vs_D_4h	-0.17650481722969058	Down	FALSE	TRUE
ENSG00000078369_GNB1	0.5722	Down	DT_vs_D_4h	0.02872307844786004	Up	FALSE	FALSE
ENSG00000078399_HOXA9	0.574	Down	DT_vs_D_4h	0.0796650586595602	Up	FALSE	FALSE
ENSG00000078401_EDN1	0.5737	Down	DT_vs_D_4h	-0.061718472393471835	Down	FALSE	TRUE
ENSG00000078403_MLLT10	0.5747	Down	DT_vs_D_4h	0.2850531723566929	Up	FALSE	FALSE
ENSG00000078618_NRDC	0.5743	Down	DT_vs_D_4h	0.06985924844738278	Up	FALSE	FALSE
ENSG00000078668_VDAC3	0.5776	Down	DT_vs_D_4h	0.17261034287876242	Up	FALSE	FALSE
ENSG00000078674_PCM1	0.5787	Down	DT_vs_D_4h	0.10884253714493308	Up	FALSE	FALSE
ENSG00000078687_TNRC6C	0.5814	Down	DT_vs_D_4h	0.0529205421625889	Up	FALSE	FALSE
ENSG00000078699_CBFA2T2	0.581	Down	DT_vs_D_4h	-0.44790513593434333	Down	FALSE	TRUE
ENSG00000078747_ITCH	0.5822	Down	DT_vs_D_4h	0.27575500308625056	Up	FALSE	FALSE
ENSG00000078804_TP53INP2	0.5817	Down	DT_vs_D_4h	-0.9987868372412736	Down	FALSE	TRUE
ENSG00000078808_SDF4	0.5813	Down	DT_vs_D_4h	-0.016351873137113948	Down	FALSE	TRUE
ENSG00000078902_TOLLIP	0.5811	Down	DT_vs_D_4h	-0.18335682166317113	Down	FALSE	TRUE
ENSG00000078967_UBE2D4	0.5813	Down	DT_vs_D_4h	-0.030045165472786906	Down	FALSE	TRUE
