contrast_id	n	n_padj_nonmissing	min_padj	q01_padj	q05_padj	q50_padj	n_padj_le_fdr	n_abs_effect_ge_lfc	n_both	n_called
DT_vs_D_24h	17430	13033	6.065e-4	0.15506	0.39476	1.083	22	3665	3	3
DT_vs_D_4h	17430	12493	2.275e-4	0.13356	0.42296	1.088	48	3377	4	4
