contrast_id	gene_id	direction	signed_effect	signed_score	score_for_agreement	pval	padj	baseline_expression
DT_vs_D_24h	ENSG00000000003_TSPAN6	NS	-0.46844608849438174	-3.217169194797408	-3.7567751102642095	NA	6.065e-4	4.700385499684868
DT_vs_D_24h	ENSG00000000419_DPM1	NS	-0.3423485053616089	-1.6110112148752858	-2.7930796466282204	NA	0.02449	4.670602902339255
DT_vs_D_24h	ENSG00000000457_SCYL3	NS	0.04141055160727447	1.5581478242267082	2.393348979466587	NA	0.02766	4.243353470936297
DT_vs_D_24h	ENSG00000001629_ANKIB1	NS	0.0129342337326701	1.4379451703436217	2.2908237623841883	NA	0.03648	6.584832626786575
DT_vs_D_24h	ENSG00000001460_STPG1	NS	0.05995077971276608	1.436400271118469	2.2868753787872587	NA	0.03661	3.0531540887884754
DT_vs_D_24h	ENSG00000001084_GCLC	NS	-0.20098325113632057	-1.4234283159347092	-2.616151323108564	NA	0.03772	6.899155604419004
DT_vs_D_24h	ENSG00000002016_RAD52	Up	0.9513713112652482	1.4104972037362362	2.2546746512483606	NA	0.03886	4.066324871628286
DT_vs_D_24h	ENSG00000000460_C1orf112	NS	-0.04407736178898602	-1.4098271684036856	-2.6031576141855237	NA	0.03892	4.255469589315302
DT_vs_D_24h	ENSG00000001630_CYP51A1	NS	-0.2780555688073365	-1.4097155962818382	-2.5989223493629674	NA	0.03893	7.372620506373147
DT_vs_D_24h	ENSG00000001631_KRIT1	NS	0.3357026739715767	1.4088240496882083	2.2528516771106997	NA	0.03901	5.484887532948571
DT_vs_D_24h	ENSG00000001617_SEMA3F	NS	0.3468087575683976	1.406824736521897	2.2456336797787935	NA	0.03919	5.859947849041875
DT_vs_D_24h	ENSG00000001036_FUCA2	NS	-0.3030703096312477	-1.4046140191908585	-2.5864889983327104	NA	0.03939	6.777585406264626
DT_vs_D_24h	ENSG00000001461_NIPAL3	NS	-0.0664948843224078	-1.4026339497339722	-2.58243193364539	NA	0.03957	6.786523412256949
DT_vs_D_24h	ENSG00000001167_NFYA	NS	-0.04954961413863579	-1.3982658517398951	-2.574443075678634	NA	0.03997	4.913776928542765
DT_vs_D_24h	ENSG00000001561_ENPP4	Down	-0.8905835088577811	-1.392009141452825	-2.5627595190500574	NA	0.04055	2.540889045014758
DT_vs_D_24h	ENSG00000001497_LAS1L	NS	0.05071752442755173	1.3785121354193697	2.194913236470661	NA	0.04183	5.346042549210501
DT_vs_D_24h	ENSG00000002330_BAD	NS	-0.3531671546949555	-1.3650191999487715	-2.5367836314132424	NA	0.04315	4.610330632101951
