contrast_id	gene_id	direction	in_used	standalone_direction	in_standalone
DT_vs_D_24h	ENSG00000002016_RAD52	Up	TRUE	Up	TRUE
DT_vs_D_24h	ENSG00000001561_ENPP4	Down	TRUE	Down	TRUE
DT_vs_D_24h	ENSG00000000971_CFH	Down	TRUE	Down	TRUE
DT_vs_D_4h	ENSG00000000460_C1orf112	Up	TRUE	Down	TRUE
DT_vs_D_4h	ENSG00000001617_SEMA3F	Down	TRUE	Up	TRUE
DT_vs_D_4h	ENSG00000002587_HS3ST1	Up	TRUE	Up	TRUE
DT_vs_D_4h	ENSG00000003400_CASP10	Down	TRUE	Up	TRUE
