contrast_id	gene_id	direction	signed_effect	signed_score	score_for_agreement	pval	padj	baseline_expression
DT_vs_D_24h	ENSG00000002016_RAD52	Up	0.9513713112652482	1.4104972037362362	2.2546746512483606	NA	0.03886	4.066324871628286
DT_vs_D_24h	ENSG00000001561_ENPP4	Down	-0.8905835088577811	-1.392009141452825	-2.5627595190500574	NA	0.04055	2.540889045014758
DT_vs_D_24h	ENSG00000000971_CFH	Down	-0.5966727490935266	-1.3507625276503927	-2.5192254877606644	NA	0.04459	3.260926793566615
DT_vs_D_4h	ENSG00000000460_C1orf112	Up	0.6252335668230531	2.4013189010928366	2.987657396145622	NA	0.003969	3.446306455179169
DT_vs_D_4h	ENSG00000001617_SEMA3F	Down	-0.6252338933294386	-1.95233580539844	-2.728187985618564	NA	0.01116	6.411540969511726
DT_vs_D_4h	ENSG00000002587_HS3ST1	Up	0.7781095316910969	1.698319050706424	2.52966656147144	NA	0.02003	0.7779966762127704
DT_vs_D_4h	ENSG00000003400_CASP10	Down	-0.9952785329818497	-1.6252516539898962	-2.433002864104269	NA	0.0237	3.8404329104489583
