gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000243244_STON1,ENSG00000243244,12.9446644473282,12.9446644473282,8.79589819616619,12.9446644473282,-0.509463533094519,13841,mid,Down,,,normcounts
ENSG00000274808_TBC1D3B,ENSG00000274808,12.9378527188653,12.9378527188653,13.9352479847802,12.9378527188653,0.099712877229964,13842,mid,Neutral,,,normcounts
ENSG00000135324_MRAP2,ENSG00000135324,12.928575353544,12.928575353544,8.39692543446914,12.928575353544,-0.56778699740179,13843,mid,Down,,,normcounts
ENSG00000273192_AL671710.1,ENSG00000273192,12.928575353544,12.928575353544,16.3934552273311,12.928575353544,0.320496850585709,13844,mid,Up,,,normcounts
ENSG00000135835_KIAA1614,ENSG00000135835,12.9260665277526,12.9260665277526,9.19807243766095,12.9260665277526,-0.449491329905866,13845,mid,Down,,,normcounts
ENSG00000159753_CARMIL2,ENSG00000159753,12.9260665277526,12.9260665277526,19.1948018386711,12.9260665277526,0.536196169086398,13846,mid,Up,,,normcounts
ENSG00000178726_THBD,ENSG00000178726,12.9260665277526,12.9260665277526,21.5943299284937,12.9260665277526,0.698172951590888,13847,mid,Up,,,normcounts
ENSG00000178821_TMEM52,ENSG00000178821,12.9260665277526,12.9260665277526,13.9967728973288,12.9260665277526,0.106864265069876,13848,mid,Neutral,,,normcounts
ENSG00000266709_AC005224.3,ENSG00000266709,12.9260665277526,12.9260665277526,16.3970124271065,12.9260665277526,0.321051754065714,13849,mid,Up,,,normcounts
ENSG00000268189_AC005785.1,ENSG00000268189,12.9260665277526,12.9260665277526,7.5968455912099,12.9260665277526,-0.695908521329548,13850,mid,Down,,,normcounts
ENSG00000272892_AL133551.1,ENSG00000272892,12.9260665277526,12.9260665277526,12.7959416924848,12.9260665277526,-0.013543884109033,13851,mid,Neutral,,,normcounts
ENSG00000213420_GPC2,ENSG00000213420,12.8632294232562,12.8632294232562,11.1957820059663,12.8632294232562,-0.184881102590239,13852,mid,Neutral,,,normcounts
ENSG00000251219_LINC01217,ENSG00000251219,12.8632294232562,12.8632294232562,4.39866053803815,12.8632294232562,-1.3605899611251,13853,mid,Down,,,normcounts
ENSG00000105419_MEIS3,ENSG00000105419,12.8607205974647,12.8607205974647,10.3978364825723,12.8607205974647,-0.282242262389743,13854,mid,Neutral,,,normcounts
ENSG00000113946_CLDN16,ENSG00000113946,12.8607205974647,12.8607205974647,12.7955859725073,12.8607205974647,-0.00679552592602706,13855,mid,Neutral,,,normcounts
ENSG00000178852_EFCAB13,ENSG00000178852,12.8607205974647,12.8607205974647,13.196337334092,12.8607205974647,0.0345164983992716,13856,mid,Neutral,,,normcounts
ENSG00000271576_AL359504.2,ENSG00000271576,12.8607205974647,12.8607205974647,12.3973246507653,12.8607205974647,-0.0490573292763865,13857,mid,Neutral,,,normcounts
ENSG00000243004_AC005062.1,ENSG00000243004,12.8399831883838,12.8399831883838,12.5751335944382,12.8399831883838,-0.0278757946884123,13858,mid,Neutral,,,normcounts
ENSG00000287387_AC010883.3,ENSG00000287387,12.7978834929683,12.7978834929683,7.19751710953535,12.7978834929683,-0.751188070917149,13859,mid,Down,,,normcounts
ENSG00000198454_LINC02692,ENSG00000198454,12.7953746671769,12.7953746671769,9.59775663931304,12.7953746671769,-0.380425735562196,13860,mid,Down,,,normcounts
ENSG00000231064_AC234582.1,ENSG00000231064,12.7953746671769,12.7953746671769,14.3943227791156,12.7953746671769,0.158213763084965,13861,mid,Neutral,,,normcounts
ENSG00000272173_U47924.2,ENSG00000272173,12.7953746671769,12.7953746671769,16.3952338272188,12.7953746671769,0.334507432604084,13862,mid,Up,,,normcounts
ENSG00000115604_IL18R1,ENSG00000115604,12.7350463884719,12.7350463884719,9.59704519935796,12.7350463884719,-0.374199732360358,13863,mid,Down,,,normcounts
ENSG00000113248_PCDHB15,ENSG00000113248,12.7341764516246,12.7341764516246,4.26313785825306,12.7341764516246,-1.38377531486778,13864,mid,Down,,,normcounts
ENSG00000010030_ETV7,ENSG00000010030,12.7325375626804,12.7325375626804,8.79660963612122,12.7325375626804,-0.4872437783681,13865,mid,Down,,,normcounts
ENSG00000127561_SYNGR3,ENSG00000127561,12.7325375626804,12.7325375626804,8.79909967596394,12.7325375626804,-0.486877129925338,13866,mid,Down,,,normcounts
ENSG00000150667_FSIP1,ENSG00000150667,12.7325375626804,12.7325375626804,15.5926639441169,12.7325375626804,0.272947290802712,13867,mid,Neutral,,,normcounts
ENSG00000230498_AL035409.1,ENSG00000230498,12.7325375626804,12.7325375626804,8.79767679605379,12.7325375626804,-0.487086631911208,13868,mid,Down,,,normcounts
ENSG00000274383_AC103691.1,ENSG00000274383,12.669700458184,12.669700458184,15.9955496255667,12.669700458184,0.314175388739804,13869,mid,Neutral,,,normcounts
ENSG00000111305_GSG1,ENSG00000111305,12.6671916323925,12.6671916323925,9.99744084096512,12.6671916323925,-0.313548984415638,13870,mid,Neutral,,,normcounts
ENSG00000138669_PRKG2,ENSG00000138669,12.6671916323925,12.6671916323925,19.1937346787385,12.6671916323925,0.563190925969332,13871,mid,Up,,,normcounts
ENSG00000186019_AC021092.1,ENSG00000186019,12.6671916323925,12.6671916323925,12.7948745325523,12.6671916323925,0.0134155101896893,13872,mid,Neutral,,,normcounts
ENSG00000234694_AL139289.2,ENSG00000234694,12.6671916323925,12.6671916323925,7.5968455912099,12.6671916323925,-0.668837525668203,13873,mid,Down,,,normcounts
ENSG00000236671_PRKG1-AS1,ENSG00000236671,12.6671916323925,12.6671916323925,21.9936584101683,12.6671916323925,0.750519199643878,13874,mid,Up,,,normcounts
ENSG00000131016_AKAP12,ENSG00000131016,12.6646828066011,12.6646828066011,92.774756980251,12.6646828066011,2.77874764762409,13875,mid,Up,,,normcounts
ENSG00000257671_KRT7-AS,ENSG00000257671,12.6646828066011,12.6646828066011,14.3946784990932,12.6646828066011,0.171979767114833,13876,mid,Neutral,,,normcounts
ENSG00000075290_WNT8B,ENSG00000075290,12.6018457021047,12.6018457021047,10.3981922025498,12.6018457021047,-0.254997405715812,13877,mid,Neutral,,,normcounts
ENSG00000110427_KIAA1549L,ENSG00000110427,12.6018457021047,12.6018457021047,25.1897091434748,12.6018457021047,0.945197606332297,13878,mid,Up,,,normcounts
ENSG00000182782_HCAR2,ENSG00000182782,12.6018457021047,12.6018457021047,8.34025820628279,12.6018457021047,-0.542268093118794,13879,mid,Down,,,normcounts
ENSG00000234390_USP27X-AS1,ENSG00000234390,12.6018457021047,12.6018457021047,8.79732107607628,12.6018457021047,-0.47334320531442,13880,mid,Down,,,normcounts
ENSG00000235527_HIPK1-AS1,ENSG00000235527,12.6018457021047,12.6018457021047,9.99530652109996,12.6018457021047,-0.306914607814428,13881,mid,Neutral,,,normcounts
ENSG00000256576_LINC02361,ENSG00000256576,12.6018457021047,12.6018457021047,6.39779298625364,12.6018457021047,-0.878635596276237,13882,mid,Down,,,normcounts
ENSG00000267121_AC008105.3,ENSG00000267121,12.6018457021047,12.6018457021047,14.3953899390483,12.6018457021047,0.178695977631913,13883,mid,Neutral,,,normcounts
ENSG00000273306_AC018690.1,ENSG00000273306,12.6018457021047,12.6018457021047,15.1936911824198,12.6018457021047,0.251629439134201,13884,mid,Neutral,,,normcounts
ENSG00000283415_AC087280.2,ENSG00000283415,12.5993368763132,12.5993368763132,11.197560605854,12.5993368763132,-0.156943653675555,13885,mid,Neutral,,,normcounts
ENSG00000215374_FAM66B,ENSG00000215374,12.539515021155,12.539515021155,9.1326431702901,12.539515021155,-0.41816550295732,13886,mid,Down,,,normcounts
ENSG00000225205_AC078883.1,ENSG00000225205,12.5390085976082,12.5390085976082,15.5937311040495,12.5390085976082,0.2935162125309,13887,mid,Neutral,,,normcounts
ENSG00000101335_MYL9,ENSG00000101335,12.5364997718168,12.5364997718168,6.39743726627611,12.5364997718168,-0.871757277451378,13888,mid,Down,,,normcounts
ENSG00000117586_TNFSF4,ENSG00000117586,12.5364997718168,12.5364997718168,6.39672582632105,12.5364997718168,-0.871896033647241,13889,mid,Down,,,normcounts
ENSG00000166589_CDH16,ENSG00000166589,12.5364997718168,12.5364997718168,7.19644994960276,12.5364997718168,-0.723783649962158,13890,mid,Down,,,normcounts
ENSG00000182492_BGN,ENSG00000182492,12.5364997718168,12.5364997718168,11.5972448075061,12.5364997718168,-0.103746508534285,13891,mid,Neutral,,,normcounts
ENSG00000182791_CCDC87,ENSG00000182791,12.5364997718168,12.5364997718168,11.9955061292481,12.5364997718168,-0.0588419165061356,13892,mid,Neutral,,,normcounts
ENSG00000187105_HEATR4,ENSG00000187105,12.5364997718168,12.5364997718168,11.1964934459214,12.5364997718168,-0.150388314087701,13893,mid,Neutral,,,normcounts
ENSG00000268069_AC004466.1,ENSG00000268069,12.5364997718168,12.5364997718168,6.39779298625364,12.5364997718168,-0.871687904357637,13894,mid,Down,,,normcounts
ENSG00000272523_LINC01023,ENSG00000272523,12.5364997718168,12.5364997718168,8.39621399451409,12.5364997718168,-0.526703263744725,13895,mid,Down,,,normcounts
ENSG00000275401_AL391095.3,ENSG00000275401,12.5364997718168,12.5364997718168,14.3953899390483,12.5364997718168,0.185643669550513,13896,mid,Neutral,,,normcounts
ENSG00000285825_CCDC15-DT,ENSG00000285825,12.5364997718168,12.5364997718168,7.99759695279458,12.5364997718168,-0.589243091330447,13897,mid,Down,,,normcounts
ENSG00000287037_AC097709.1,ENSG00000287037,12.5364997718168,12.5364997718168,13.9971286173063,12.5364997718168,0.147831566339578,13898,mid,Neutral,,,normcounts
ENSG00000184925_LCN12,ENSG00000184925,12.4736626673204,12.4736626673204,11.1968491658989,12.4736626673204,-0.14363358302751,13899,mid,Neutral,,,normcounts
ENSG00000189108_IL1RAPL2,ENSG00000189108,12.4711538415289,12.4711538415289,10.7978764042019,12.4711538415289,-0.191346226374217,13900,mid,Neutral,,,normcounts
ENSG00000205890_AC108134.1,ENSG00000205890,12.4711538415289,12.4711538415289,4.3993719779932,12.4711538415289,-1.31900991024526,13901,mid,Down,,,normcounts
ENSG00000198225_FKBP1C,ENSG00000198225,12.4120653688357,12.4120653688357,12.0117140437002,12.4120653688357,-0.0437203978197087,13902,mid,Neutral,,,normcounts
ENSG00000120328_PCDHB12,ENSG00000120328,12.4119148392882,12.4119148392882,7.02867862930281,12.4119148392882,-0.740280755984686,13903,mid,Down,,,normcounts
ENSG00000013016_EHD3,ENSG00000013016,12.4083167370325,12.4083167370325,13.5956658157665,12.4083167370325,0.122411889766776,13904,mid,Neutral,,,normcounts
ENSG00000126246_IGFLR1,ENSG00000126246,12.4083167370325,12.4083167370325,14.3957456590258,12.4083167370325,0.199403608315062,13905,mid,Neutral,,,normcounts
ENSG00000183092_BEGAIN,ENSG00000183092,12.4083167370325,12.4083167370325,17.9957492337148,12.4083167370325,0.502548481643161,13906,mid,Up,,,normcounts
ENSG00000204219_TCEA3,ENSG00000204219,12.4083167370325,12.4083167370325,9.99708512098761,12.4083167370325,-0.286006959745264,13907,mid,Neutral,,,normcounts
ENSG00000232803_SLCO4A1-AS1,ENSG00000232803,12.4083167370325,12.4083167370325,19.1951575586486,12.4083167370325,0.590881267191947,13908,mid,Up,,,normcounts
ENSG00000254676_AP000873.4,ENSG00000254676,12.4083167370325,12.4083167370325,7.7051160456335,12.4083167370325,-0.623192699207174,13909,mid,Down,,,normcounts
ENSG00000261189_AL031058.1,ENSG00000261189,12.4083167370325,12.4083167370325,9.19522667784072,12.4083167370325,-0.395234282323723,13910,mid,Down,,,normcounts
