type,band,a,b,c,d,odds_ratio,conf_low,conf_high,y
EBOX,head,861,881,6744,8941,1.29567409648531,1.17342544890884,1.43065873154883,1.29567409648531
EBOX,mid,6108,7834,1497,1988,1.03540448269529,0.960635155841215,1.11599334697126,1.03540448269529
EBOX,tail,636,1107,6969,8715,0.718466332317219,0.648483635784324,0.796001382593153,0.718466332317219
TETO,head,346,1396,3435,12250,0.883893678340695,0.781095402437857,1.00022101291628,0.883893678340695
TETO,mid,3060,10882,721,2764,1.07799185360242,0.983980109975957,1.18098569742591,1.07799185360242
TETO,tail,375,1368,3406,12278,0.988162015432003,0.876081246225499,1.11458175020825,0.988162015432003
