type,band,a,b,c,d,odds_ratio,conf_low,conf_high,p_value,y
EBOX,head,78,72,28,30,1.16071428571429,0.632876996070676,2.12878278310936,0.645922869556814,1.16071428571429
EBOX,mid,988,1063,895,1372,1.42480278751504,1.26266658871523,1.607758533768,9.05186654485767e-09,1.42480278751504
EBOX,tail,235,434,163,284,0.943428232167595,0.735046105682244,1.21088571501886,0.655751870715471,0.943428232167595
TETO,head,34,116,11,47,1.25235109717868,0.585883774664847,2.67695290162599,0.707566074320327,1.25235109717868
TETO,mid,466,1585,522,1745,0.982837182880694,0.852537313366481,1.13305178894571,0.827741514407025,0.982837182880694
TETO,tail,151,518,93,354,1.10960269024785,0.828967476832184,1.48524298553937,0.506493624805882,1.10960269024785
